;title;link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;demographic;duration;rating;score;ranked;popularity;members;favorites;platforms;synopsis;theme;genre
20;Nanatsu no Taizai;https://myanimelist.net/anime/23755/Nanatsu_no_Taizai;;七つの大罪;TV;24;Finished Airing;Oct 5, 2014 to Mar 29, 2015;Fall 2014;Sundays at 17:00 (JST);['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'Kodansha', 'Movic'];Funimation;A-1 Pictures;Manga;['Action', 'Adventure', 'Fantasy'];;Shounen;24 min. per ep.;PG-13 - Teens 13 or older;7.68;#1176;#31;1,936,883;19,072;['Netflix'];"In a world similar to the European Middle Ages, the feared yet revered Holy Knights of Britannia use immensely powerful magic to protect the region of Britannia and its kingdoms. However, a small subset of the Knights supposedly betrayed their homeland and turned their blades against their comrades in an attempt to overthrow the ruler of Liones. They were defeated by the Holy Knights, but rumors continued to persist that these legendary knights, called the ""Seven Deadly Sins,"" were still alive. Ten years later, the Holy Knights themselves staged a coup d’état, and thus became the new, tyrannical rulers of the Kingdom of Liones.  Based on the best-selling manga series of the same name, Nanatsu no Taizai follows the adventures of Elizabeth, the third princess of the Kingdom of Liones, and her search for the Seven Deadly Sins. With their help, she endeavors to not only take back her kingdom from the Holy Knights, but to also seek justice in an unjust world.  [Written by MAL Rewrite]";;
21;Mirai Nikki (TV);https://myanimelist.net/anime/10620/Mirai_Nikki_TV;Mirai Nikki, Mirai Nikki (2011);未来日記;TV;26;Finished Airing;Oct 9, 2011 to Apr 15, 2012;Fall 2011;Sundays at 23:00 (JST);['Lantis', 'Kadokawa Shoten', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'chara-ani.com', '12 Diary Holders', 'Dwango', 'Sakura Create'];Funimation;asread.;Manga;['Action', 'Supernatural', 'Suspense'];['Gore', 'High Stakes Game', 'Psychological', 'Survival'];Shounen;23 min. per ep.;R+ - Mild Nudity;7.43;#1985;#32;1,916,313;29,935;['Crunchyroll', 'Funimation'];"Yukiteru Amano is a shy middle schooler who regularly keeps track of what he does in his daily life by writing down all of his activities on his phone—a digital diary. Despite having no friends at school, Yukiteru is frequently seen talking to his supposedly imaginary friends Deus Ex Machina, the god of time and space; and Deus' servant, Mur Mur.  One day, Yukiteru wakes up and discovers that certain events of his day are preemptively displayed on his cellphone. While initially dismissing it as a coincidence, he slowly realizes that the incidents written in his phone actually take place in the near future. After spending the day benefiting from this new asset, Yukiteru learns that his classmate Yuno Gasai possesses a similar diary.  As the two team up to defeat an odd pursuer and head back to their respective homes, Deus Ex Machina explains that they—alongside 10 other contestants—have been drawn into a survival game whose victor will become the deity's successor. With no other options, Yukiteru and Yuno must use their cellphones—now called ""Future Diaries""—to survive this unforgiving battle royale.  [Written by MAL Rewrite]";;
22;Mob Psycho 100;https://myanimelist.net/anime/32182/Mob_Psycho_100;Mob Psycho Hyaku, Mob Psycho One Hundred;モブサイコ100;TV;12;Finished Airing;Jul 11, 2016 to Sep 27, 2016;Summer 2016;Tuesdays at 00:00 (JST);['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan'];Funimation, Crunchyroll;Bones;Web manga;['Action', 'Comedy', 'Supernatural'];;;24 min. per ep.;PG-13 - Teens 13 or older;8.49;#129;#33;1,901,546;44,088;['Crunchyroll', 'Funimation', ''];"Eighth-grader Shigeo ""Mob"" Kageyama has tapped into his inner wellspring of psychic prowess at a young age. But the power quickly proves to be a liability when he realizes the potential danger in his skills. Choosing to suppress his power, Mob's only present use for his ability is to impress his longtime crush, Tsubomi, who soon grows bored of the same tricks.  In order to effectuate control on his skills, Mob enlists himself under the wing of Arataka Reigen, a con artist claiming to be a psychic, who exploits Mob's powers for pocket change. Now, exorcising evil spirits on command has become a part of Mob's daily, monotonous life. However, the psychic energy he exerts is barely the tip of the iceberg; if his vast potential and unrestrained emotions run berserk, a cataclysmic event that would render him completely unrecognizable will be triggered. The progression toward Mob's explosion is rising and attempting to stop it is futile.  [Written by MAL Rewrite]";Super Power;
23;Sword Art Online II;https://myanimelist.net/anime/21881/Sword_Art_Online_II;Phantom Bullet, SAO II, Sword Art Online 2, SAO 2;ソードアート・オンライン II;TV;24;Finished Airing;Jul 5, 2014 to Dec 20, 2014;Summer 2014;Mondays at 00:00 (JST);['Aniplex', 'Genco', 'ASCII Media Works', 'Bandai Namco Games'];Aniplex of America;A-1 Pictures;Light novel;['Action', 'Adventure', 'Fantasy', 'Romance'];['Love Polygon', 'Video Game'];;23 min. per ep.;PG-13 - Teens 13 or older;6.70;#5510;#34;1,867,939;9,164;['Crunchyroll', 'Netflix'];A year after escaping Sword Art Online, Kazuto Kirigaya has been settling back into the real world. However, his peace is short-lived as a new incident occurs in a game called Gun Gale Online, where a player by the name of Death Gun appears to be killing people in the real world by shooting them in-game. Approached by officials to assist in investigating the murders, Kazuto assumes his persona of Kirito once again and logs into Gun Gale Online, intent on stopping the killer.  Once inside, Kirito meets Sinon, a highly skilled sniper afflicted by a traumatic past. She is soon dragged in his chase after Death Gun, and together they enter the Bullet of Bullets, a tournament where their target is sure to appear. Uncertain of Death Gun's real powers, Kirito and Sinon race to stop him before he has the chance to claim another life. Not everything goes smoothly, however, as scars from the past impede their progress. In a high-stakes game where the next victim could easily be one of them, Kirito puts his life on the line in the virtual world once more.  [Written by MAL Rewrite];;
24;Ansatsu Kyoushitsu;https://myanimelist.net/anime/24833/Ansatsu_Kyoushitsu;Ansatsu Kyoushitsu;暗殺教室;TV;22;Finished Airing;Jan 10, 2015 to Jun 20, 2015;Winter 2015;Saturdays at 00:55 (JST);['Dentsu', 'Studio Hibari', 'Fuji TV', 'DAX Production', 'BS Fuji', 'Avex Pictures', 'Shueisha'];Funimation;Lerche;Manga;['Action', 'Comedy'];;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;8.09;#466;#35;1,867,570;28,206;['Crunchyroll', 'Funimation', ''];"Tucked in the mountains near the elite Kunugigaoka Middle School lies a small derelict building that houses the delinquents and dropouts of Class 3-E. Looked down upon by their peers, the students in this class appear to have little hope in advancing their academic careers. That is, until the national government tasks them with eliminating the greatest threat to their planet: their new teacher.  Having already destroyed the moon, the octopus-like professor—dubbed ""Koro-sensei""—has now threatened to destroy the Earth by March of the following year. In light of their mission, the students have found that killing him is easier said than done. Not only can Koro-sensei move at speeds of up to Mach 20, but he can also resist almost every earthly weapon. Ironically, he also proves to be one of the best teachers Class 3-E has ever had. Training the class to excel in both their studies as students and skills as assassins, Koro-sensei is confident that his students' ingenuity and indomitable will could return them to the main campus.  Through trial and error, Nagisa Shiota, as well as the other students of Class 3-E, must figure out Koro-sensei's weaknesses—and fast, for the very fate of the world depends upon it.  [Written by MAL Rewrite]";School;
25;Ao no Exorcist;https://myanimelist.net/anime/9919/Ao_no_Exorcist;Ao no Futsumashi;青の祓魔師(エクソシスト);TV;25;Finished Airing;Apr 17, 2011 to Oct 2, 2011;Spring 2011;Sundays at 17:00 (JST);['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sakura Create', 'Shueisha'];Aniplex of America;A-1 Pictures;Manga;['Action', 'Fantasy'];['Mythology', 'School'];Shounen;24 min. per ep.;PG-13 - Teens 13 or older;7.50;#1708;#37;1,824,421;16,539;['Crunchyroll', 'Funimation', ''];Humans and demons are two sides of the same coin, as are Assiah and Gehenna, their respective worlds. The only way to travel between the realms is by the means of possession, like in ghost stories. However, Satan, the ruler of Gehenna, cannot find a suitable host to possess and therefore, remains imprisoned in his world. In a desperate attempt to conquer Assiah, he sends his son instead, intending for him to eventually grow into a vessel capable of possession by the demon king.  Ao no Exorcist follows Rin Okumura who appears to be an ordinary, somewhat troublesome teenager—that is until one day he is ambushed by demons. His world turns upside down when he discovers that he is in fact the very son of Satan and that his demon father wishes for him to return so they can conquer Assiah together. Not wanting to join the king of Gehenna, Rin decides to begin training to become an exorcist so that he can fight to defend Assiah alongside his brother Yukio.  [Written by MAL Rewrite];;
26;Bleach;https://myanimelist.net/anime/269/Bleach;;BLEACH - ブリーチ -;TV;366;Finished Airing;Oct 5, 2004 to Mar 27, 2012;Fall 2004;Tuesdays at 18:00 (JST);['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Studio Kelmadick', 'Shueisha'];VIZ Media;Pierrot;Manga;['Action', 'Adventure', 'Fantasy'];;Shounen;24 min. per ep.;PG-13 - Teens 13 or older;7.90;#717;#40;1,808,937;66,807;['Crunchyroll', 'Funimation', '', '', ''];Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, who gets injured while protecting Ichigo's family from the assailant. To save his family, Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result.  However, as Rukia is unable to regain her powers, Ichigo is given the daunting task of hunting down the Hollows that plague their town. However, he is not alone in his fight, as he is later joined by his friends—classmates Orihime Inoue, Yasutora Sado, and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world.  [Written by MAL Rewrite];;
27;Shingeki no Kyojin: The Final Season;https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season;Shingeki no Kyojin Season 4, Attack on Titan Season 4;進撃の巨人 The Final Season;TV;16;Finished Airing;Dec 7, 2020 to Mar 29, 2021;Winter 2021;Mondays at 00:10 (JST);['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise'];Funimation;MAPPA;Manga;['Action', 'Drama'];['Gore', 'Military', 'Survival'];Shounen;23 min. per ep.;R - 17+ (violence & profanity);8.81;#31;#41;1,775,348;50,831;['Crunchyroll', 'Netflix'];Gabi Braun and Falco Grice have been training their entire lives to inherit one of the seven Titans under Marley's control and aid their nation in eradicating the Eldians on Paradis. However, just as all seems well for the two cadets, their peace is suddenly shaken by the arrival of Eren Yeager and the remaining members of the Survey Corps.  Having finally reached the Yeager family basement and learned about the dark history surrounding the Titans, the Survey Corps has at long last found the answer they so desperately fought to uncover. With the truth now in their hands, the group set out for the world beyond the walls.  In Shingeki no Kyojin: The Final Season, two utterly different worlds collide as each party pursues its own agenda in the long-awaited conclusion to Paradis' fight for freedom.  [Written by MAL Rewrite];;
28;Kiseijuu: Sei no Kakuritsu;https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu;Parasite, Parasitic Beasts, Parasyte;寄生獣 セイの格率;TV;24;Finished Airing;Oct 9, 2014 to Mar 26, 2015;Fall 2014;Thursdays at 01:29 (JST);['VAP', 'Kodansha', 'Nippon Television Network', 'Forecast Communications'];Sentai Filmworks;Madhouse;Manga;['Action', 'Horror', 'Sci-Fi'];['Gore', 'Psychological'];Seinen;23 min. per ep.;R - 17+ (violence & profanity);8.34;#206;#42;1,741,851;32,963;['Crunchyroll', 'HIDIVE', '', ''];All of a sudden, they arrived: parasitic aliens that descended upon Earth and quickly infiltrated humanity by burrowing into the brains of vulnerable targets. These insatiable beings acquire full control of their host and are able to morph into a variety of forms in order to feed on unsuspecting prey.  Sixteen-year-old high school student Shinichi Izumi falls victim to one of these parasites, but it fails to take over his brain, ending up in his right hand instead. Unable to relocate, the parasite, now named Migi, has no choice but to rely on Shinichi in order to stay alive. Thus, the pair is forced into an uneasy coexistence and must defend themselves from hostile parasites that hope to eradicate this new threat to their species.  [Written by MAL Rewrite];;
29;Cowboy Bebop;https://myanimelist.net/anime/1/Cowboy_Bebop;;カウボーイビバップ;TV;26;Finished Airing;Apr 3, 1998 to Apr 24, 1999;Spring 1998;Saturdays at 01:00 (JST);['Bandai Visual'];Funimation, Bandai Entertainment;Sunrise;Original;['Action', 'Award Winning', 'Sci-Fi'];['Adult Cast', 'Space'];;24 min. per ep.;R - 17+ (violence & profanity);8.75;#38;#43;1,727,748;76,623;['Crunchyroll', 'Funimation', '', ''];Crime is timeless. By the year 2071, humanity has expanded across the galaxy, filling the surface of other planets with settlements like those on Earth. These new societies are plagued by murder, drug use, and theft, and intergalactic outlaws are hunted by a growing number of tough bounty hunters.  Spike Spiegel and Jet Black pursue criminals throughout space to make a humble living. Beneath his goofy and aloof demeanor, Spike is haunted by the weight of his violent past. Meanwhile, Jet manages his own troubled memories while taking care of Spike and the Bebop, their ship. The duo is joined by the beautiful con artist Faye Valentine, odd child Edward Wong Hau Pepelu Tivrusky IV, and Ein, a bioengineered Welsh Corgi.  While developing bonds and working to catch a colorful cast of criminals, the Bebop crew's lives are disrupted by a menace from Spike's past. As a rival's maniacal plot continues to unravel, Spike must choose between life with his newfound family or revenge for his old wounds.  [Written by MAL Rewrite];;
30;Tokyo Ghoul √A;https://myanimelist.net/anime/27899/Tokyo_Ghoul_%E2%88%9AA;Tokyo Ghoul Root A, Tokyo Ghoul 2nd Season, Tokyo Ghoul Second Season;東京喰種√A;TV;12;Finished Airing;Jan 9, 2015 to Mar 27, 2015;Winter 2015;Fridays at 00:00 (JST);['Marvelous AQL', 'Shueisha'];Funimation;Pierrot;Manga;['Action', 'Fantasy', 'Horror'];['Gore', 'Psychological'];Seinen;24 min. per ep.;R - 17+ (violence & profanity);7.03;#3951;#45;1,676,047;10,243;['Crunchyroll', 'Shahid'];Ken Kaneki has finally come to accept the monstrous, flesh-craving part of himself that he has feared and despised for so long. After escaping captivity and torture, Kaneki joins Aogiri Tree—the very militant ghoul organization that had abducted him, leading his friends to question his true motive and loyalty.  As tension between the government and the ghouls continues to rise, the Commission of Counter Ghoul, the government's specialized anti-ghoul agency, has intensified their efforts to completely purge Tokyo of ghouls. This threatens the transient peace of Kaneki's friends and former comrades—the ghouls at the Anteiku coffee shop. Aware of the dangerous situation, Kaneki faces several battles that puts his precious fleeting humanity on the line.  [Written by MAL Rewrite];;
31;Neon Genesis Evangelion;https://myanimelist.net/anime/30/Neon_Genesis_Evangelion;Shinseiki Evangelion;新世紀エヴァンゲリオン;TV;26;Finished Airing;Oct 4, 1995 to Mar 27, 1996;Fall 1995;Wednesdays at 18:30 (JST);['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka'];ADV Films, GKIDS;Gainax, Tatsunoko Production;Original;['Action', 'Avant Garde', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense'];['Mecha', 'Psychological'];;24 min. per ep.;PG-13 - Teens 13 or older;8.34;#207;#46;1,672,967;98,103;['Netflix'];"Fifteen years after a cataclysmic event known as the Second Impact, the world faces a new threat: monstrous celestial beings called ""Angels"" invade Tokyo-3 one by one. Mankind is unable to defend themselves against the Angels despite utilizing their most advanced munitions and military tactics. The only hope for human salvation rests in the hands of NERV, a mysterious organization led by the cold Gendou Ikari. NERV operates giant humanoid robots dubbed ""Evangelions"" to combat the Angels with state-of-the-art advanced weaponry and protective barriers known as Absolute Terror Fields.  Years after being abandoned by his father, Shinji Ikari, Gendou's 14-year-old son, returns to Tokyo-3. Shinji undergoes a perpetual internal battle against the deeply buried trauma caused by the loss of his mother and the emotional neglect he suffered at the hands of his father. Terrified to open himself up to another, Shinji's life is forever changed upon meeting 29-year-old Misato Katsuragi, a high-ranking NERV officer who shows him a free-spirited maternal kindness he has never experienced.  A devastating Angel attack forces Shinji into action as Gendou reveals his true motive for inviting his son back to Tokyo-3: Shinji is the only child capable of efficiently piloting Evangelion Unit-01, a new robot that synchronizes with his biometrics. Despite the brutal psychological trauma brought about by piloting an Evangelion, Shinji defends Tokyo-3 against the angelic threat, oblivious to his father's dark machinations.  [Written by MAL Rewrite]";;
32;Code Geass: Hangyaku no Lelouch R2;https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2;Code Geass: Hangyaku no Lelouch 2nd Season, Code Geass: Hangyaku no Lelouch Second Season;コードギアス 反逆のルルーシュ 続編;TV;25;Finished Airing;Apr 6, 2008 to Sep 28, 2008;Spring 2008;Sundays at 17:00 (JST);['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners'];Funimation, Bandai Entertainment;Sunrise;Original;['Action', 'Award Winning', 'Drama', 'Sci-Fi'];['Mecha', 'Military', 'Super Power'];;24 min. per ep.;R - 17+ (violence & profanity);8.91;#21;#47;1,662,559;73,547;['Crunchyroll', 'Funimation', ''];One year has passed since the Black Rebellion, a failed uprising against the Holy Britannian Empire led by the masked vigilante Zero, who is now missing. At a loss without their revolutionary leader, Area 11's resistance group—the Black Knights—find themselves too powerless to combat the brutality inflicted upon the Elevens by Britannia, which has increased significantly in order to crush any hope of a future revolt.  Lelouch Lamperouge, having lost all memory of his double life, is living peacefully alongside his friends as a high school student at Ashford Academy. His former partner C.C., unable to accept this turn of events, takes it upon herself to remind him of his past purpose, hoping that the mastermind Zero will rise once again to finish what he started, in this thrilling conclusion to the series.  [Written by MAL Rewrite];;
33;Fairy Tail;https://myanimelist.net/anime/6702/Fairy_Tail;;FAIRY TAIL（フェアリーテイル）;TV;175;Finished Airing;Oct 12, 2009 to Mar 30, 2013;Fall 2009;Saturdays at 10:30 (JST);['TV Tokyo', 'Dentsu', 'Pony Canyon', 'Kodansha', 'DAX Production', 'Sakura Create'];Funimation;Satelight, A-1 Pictures;Manga;['Action', 'Adventure', 'Fantasy'];;Shounen;24 min. per ep.;PG-13 - Teens 13 or older;7.58;#1441;#48;1,655,747;45,047;['Crunchyroll', 'Funimation', ''];"In the enchanted Kingdom of Fiore, the lively Lucy Heartfilia has one wish: to join the renowned Fairy Tail—one of the many magical wizard guilds scattered around the continent. Luckily, a chance encounter with Natsu Dragneel, the ""Salamander"" of Fairy Tail, whisks her into the legendary guild.  From Natsu's rivalrous antics with ice wizard Gray Fullbuster to the frightening presence of the unmatched combat goddess Erza Scarlet, Fairy Tail's powerful mages have a slight penchant for trouble. Through all the lucrative odd jobs and adventures to save the world from destruction lies an absolute and unyielding trust stronger than family that has formed between each guild member.  Teaming up with Natsu, Gray, and Erza, Lucy finds herself amidst the guild's most misfit wizards. But as they constantly stand in the eye of every danger, there is one name that never ceases to resurface: Zeref, the feared master of dark magic.  [Written by MAL Rewrite]";;
34;Kill la Kill;https://myanimelist.net/anime/18679/Kill_la_Kill;KLK, Dressed to Kill;キルラキル;TV;24;Finished Airing;Oct 4, 2013 to Mar 28, 2014;Fall 2013;Fridays at 02:05 (JST);['Aniplex', 'Dentsu', 'Kadokawa Shoten', 'Mainichi Broadcasting System', 'Movic', 'Ultra Super Pictures', 'Lucent Pictures Entertainment'];Aniplex of America;Trigger;Original;['Action', 'Comedy', 'Ecchi'];['School', 'Super Power'];;24 min. per ep.;PG-13 - Teens 13 or older;8.04;#527;#51;1,629,382;36,378;['Crunchyroll', 'Funimation', ''];"After the murder of her father, Ryuuko Matoi has been wandering the land in search of his killer. Following her only lead—the missing half of his invention, the Scissor Blade—she arrives at the prestigious Honnouji Academy, a high school unlike any other. The academy is ruled by the imposing and cold-hearted student council president Satsuki Kiryuuin alongside her powerful underlings, the Elite Four. In the school's brutally competitive hierarchy, Satsuki bestows upon those at the top special clothes called ""Goku Uniforms,"" which grant the wearer unique superhuman abilities.  Thoroughly beaten in a fight against one of the students in uniform, Ryuuko retreats to her razed home where she stumbles across Senketsu, a rare and sentient ""Kamui,"" or God Clothes. After coming into contact with Ryuuko's blood, Senketsu awakens, latching onto her and providing her with immense power. Now, armed with Senketsu and the Scissor Blade, Ryuuko makes a stand against the Elite Four, hoping to reach Satsuki and uncover the culprit behind her father's murder once and for all.  [Written by MAL Rewrite]";;
35;Boku no Hero Academia 4th Season;https://myanimelist.net/anime/38408/Boku_no_Hero_Academia_4th_Season;;僕のヒーローアカデミア;TV;25;Finished Airing;Oct 12, 2019 to Apr 4, 2020;Fall 2019;Saturdays at 17:30 (JST);['Dentsu', 'Yomiuri Telecasting', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha'];Funimation;Bones;Manga;;['School', 'Super Power'];Shounen;24 min. per ep.;PG-13 - Teens 13 or older;7.92;#691;#53;1,583,598;8,188;['Crunchyroll', 'Netflix'];"After successfully passing his Provisional Hero License exam, Izuku ""Deku"" Midoriya seeks out an extracurricular internship with a professional hero agency. At the recommendation of his mentor All Might, Midoriya lands a position under All Might's former sidekick, Sir Nighteye, now a famous hero in his own right.  As Midoriya's classmates further their own abilities through various internships, up-and-coming villain Kai Chisaki utilizes his terrifying powers to gather favor in the criminal underworld. Known by the moniker Overhaul, Chisaki's ambitions collide with the League of Villains and its leader, Tomura Shigaraki.  Through his work with Sir Nighteye, Midoriya discovers Chisaki's crime syndicate and the villain's hostile relationship with a mysterious young girl named Eri. Fearing for the child's safety, Midoriya and his upperclassman Mirio Toogata must work together to put an end to Chisaki's reign of terror.  [Written by MAL Rewrite]";;Action
36;One Punch Man 2nd Season;https://myanimelist.net/anime/34134/One_Punch_Man_2nd_Season;One Punch-Man 2, One-Punch Man 2, OPM 2;ワンパンマン;TV;12;Finished Airing;Apr 10, 2019 to Jul 3, 2019;Spring 2019;Wednesdays at 01:35 (JST);['TV Tokyo', 'Good Smile Company', 'Shueisha', 'JR East Marketing & Communications', 'Bandai Namco Arts', 'Bandai Spirits'];VIZ Media;J.C.Staff;Web manga;['Action', 'Comedy'];['Adult Cast', 'Parody', 'Super Power'];Seinen;23 min. per ep.;R - 17+ (violence & profanity);7.49;#1766;#58;1,543,478;6,111;['Crunchyroll'];In the wake of defeating Boros and his mighty army, Saitama has returned to his unremarkable everyday life in Z-City. However, unbeknownst to him, the number of monsters appearing is still continuously on the rise, putting a strain on the Hero Association's resources. Their top executives decide on the bold move of recruiting hoodlums in order to help in their battle. But during the first meeting with these potential newcomers, a mysterious man calling himself Garou makes his appearance. Claiming to be a monster, he starts mercilessly attacking the crowd.  The mysterious Garou continues his rampage against the Hero Association, crushing every hero he encounters. He turns out to be the legendary martial artist Silverfang's best former disciple and seems driven by unknown motives. Regardless, this beast of a man seems unstoppable. Intrigued by this puzzling new foe and with an insatiable thirst for money, Saitama decides to seize the opportunity and joins the interesting martial arts competition.  As the tournament commences and Garou continues his rampage, a new great menace reveals itself, threatening the entire human world. Could this finally be the earth-shattering catastrophe predicted by the great seer Madame Shibabawa?  [Written by MAL Rewrite];;
37;Psycho-Pass;https://myanimelist.net/anime/13601/Psycho-Pass;Psychopath;サイコパス;TV;22;Finished Airing;Oct 12, 2012 to Mar 22, 2013;Fall 2012;Fridays at 00:45 (JST);['Dentsu', 'Fuji TV', 'Nitroplus', 'Sony Music Entertainment', 'TOHO animation', 'Kyoraku Industrial Holdings'];Funimation;Production I.G;Original;['Action', 'Sci-Fi', 'Suspense'];['Adult Cast', 'Detective', 'Psychological'];;23 min. per ep.;R - 17+ (violence & profanity);8.34;#208;#59;1,540,218;37,224;['Crunchyroll', 'Funimation', ''];"Justice, and the enforcement of it, has changed. In the 22nd century, Japan enforces the Sibyl System, an objective means of determining the threat level of each citizen by examining their mental state for signs of criminal intent, known as their Psycho-Pass. Inspectors uphold the law by subjugating, often with lethal force, anyone harboring the slightest ill-will; alongside them are Enforcers, jaded Inspectors that have become latent criminals, granted relative freedom in exchange for carrying out the Inspectors' dirty work.  Into this world steps Akane Tsunemori, a young woman with an honest desire to uphold justice. However, as she works alongside veteran Enforcer Shinya Kougami, she soon learns that the Sibyl System's judgments are not as perfect as her fellow Inspectors assume. With everything she has known turned on its head, Akane wrestles with the question of what justice truly is, and whether it can be upheld through the use of a system that may already be corrupt.  [Written by MAL Rewrite]";;
38;Soul Eater;https://myanimelist.net/anime/3588/Soul_Eater;;ソウルイーター;TV;51;Finished Airing;Apr 7, 2008 to Mar 30, 2009;Spring 2008;Mondays at 18:00 (JST);['TV Tokyo', 'Aniplex', 'Dentsu', 'Media Factory'];Funimation;Bones;Manga;['Action', 'Comedy', 'Fantasy'];;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;7.84;#838;#60;1,537,596;25,532;['Crunchyroll', 'Funimation'];"Death City is home to the famous Death Weapon Meister Academy, a technical academy headed by the Shinigami—Lord Death himself. Its mission: to raise ""Death Scythes"" for the Shinigami to wield against the many evils of their fantastical world. These Death Scythes, however, are not made from physical weapons; rather, they are born from human hybrids who have the ability to transform their bodies into Demon Weapons, and only after they have consumed the souls of 99 evil beings and one witch's soul.  Soul Eater Evans, a Demon Scythe who only seems to care about what's cool, aims to become a Death Scythe with the help of his straight-laced wielder, or meister, Maka Albarn. The contrasting duo work and study alongside the hot headed Black☆Star and his caring weapon Tsubaki, as well as the Shinigami's own son, Death the Kid, an obsessive-compulsive dual wielder of twin pistols Patty and Liz.  Soul Eater follows these students of Shibusen as they take on missions to collect souls and protect the city from the world's threats while working together under the snickering sun to become sounder in mind, body, and soul.  [Written by MAL Rewrite]";School;
39;Darling in the FranXX;https://myanimelist.net/anime/35849/Darling_in_the_FranXX;;ダーリン・イン・ザ・フランキス;TV;24;Finished Airing;Jan 13, 2018 to Jul 7, 2018;Winter 2018;Saturdays at 23:30 (JST);['Aniplex', 'Khara', 'Movic', 'Ultra Super Pictures', 'Lucent Pictures Entertainment', 'Tokyo MX', 'Nagoya Broadcasting Network', 'Asahi Broadcasting', 'BS11', 'Lawson', 'ABC Animation', 'Rialto Entertainment'];Funimation;A-1 Pictures, Trigger, CloverWorks;Original;['Action', 'Drama', 'Romance', 'Sci-Fi'];;;24 min. per ep.;PG-13 - Teens 13 or older;7.22;#2974;#62;1,528,581;30,536;['Crunchyroll', 'Funimation', '', ''];"In the distant future, humanity has been driven to near-extinction by giant beasts known as Klaxosaurs, forcing the surviving humans to take refuge in massive fortress cities called Plantations. Children raised here are trained to pilot giant mechas known as FranXX—the only weapons known to be effective against the Klaxosaurs—in boy-girl pairs. Bred for the sole purpose of piloting these machines, these children know nothing of the outside world and are only able to prove their existence by defending their race.  Hiro, an aspiring FranXX pilot, has lost his motivation and self-confidence after failing an aptitude test. Skipping out on his class' graduation ceremony, Hiro retreats to a forest lake, where he encounters a mysterious girl with two horns growing out of her head. She introduces herself by her codename Zero Two, which is known to belong to an infamous FranXX pilot known as the ""Partner Killer."" Before Hiro can digest the encounter, the Plantation is rocked by a sudden Klaxosaur attack. Zero Two engages the creature in her FranXX, but it is heavily damaged in the skirmish and crashes near Hiro. Finding her partner dead, Zero Two invites Hiro to pilot the mecha with her, and the duo easily defeats the Klaxosaur in the ensuing fight. With a new partner by his side, Hiro has been given a chance at redemption for his past failures, but at what cost?  [Written by MAL Rewrite]";Mecha;
