;title;link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;demographic;duration;rating;score;ranked;popularity;members;favorites;platforms;synopsis;theme;genre
10;Boku no Hero Academia 2nd Season;https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season;;僕のヒーローアカデミア;TV;25;Finished Airing;Apr 1, 2017 to Sep 30, 2017;Spring 2017;Saturdays at 17:30 (JST);['Dentsu', 'Yomiuri Telecasting', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha'];Funimation;Bones;Manga;;['School', 'Super Power'];Shounen;23 min. per ep.;PG-13 - Teens 13 or older;8.12;#431;#14;2,355,363;17,153;['Crunchyroll', 'Netflix'];At UA Academy, not even a violent attack can disrupt their most prestigious event: the school sports festival. Renowned across Japan, this festival is an opportunity for aspiring heroes to showcase their abilities, both to the public and potential recruiters.  However, the path to glory is never easy, especially for Izuku Midoriya—whose quirk possesses great raw power but is also cripplingly inefficient. Pitted against his talented classmates, such as the fire and ice wielding Shouto Todoroki, Izuku must utilize his sharp wits and master his surroundings to achieve victory and prove to the world his worth.  [Written by MAL Rewrite];;Action
11;Naruto: Shippuuden;https://myanimelist.net/anime/1735/Naruto__Shippuuden;Naruto Hurricane Chronicles;-ナルト- 疾風伝;TV;500;Finished Airing;Feb 15, 2007 to Mar 23, 2017;Winter 2007;Thursdays at 19:30 (JST);['TV Tokyo', 'Aniplex', 'KSS', 'Rakuonsha', 'TV Tokyo Music', 'Shueisha'];VIZ Media;Pierrot;Manga;['Action', 'Adventure', 'Fantasy'];;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;8.25;#291;#15;2,287,390;104,983;['Crunchyroll', 'Netflix'];It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world.  Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage.  [Written by MAL Rewrite];Martial Arts;
12;Jujutsu Kaisen;https://myanimelist.net/anime/40748/Jujutsu_Kaisen;Sorcery Fight, JJK;呪術廻戦;TV;24;Finished Airing;Oct 3, 2020 to Mar 27, 2021;Fall 2020;Saturdays at 01:25 (JST);['Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', 'dugout', 'Sumzap'];VIZ Media;MAPPA;Manga;['Action', 'Award Winning', 'Fantasy'];;Shounen;23 min. per ep.;R - 17+ (violence & profanity);8.65;#66;#17;2,150,259;78,580;['Crunchyroll', 'Funimation', ''];"Idly indulging in baseless paranormal activities with the Occult Club, high schooler Yuuji Itadori spends his days at either the clubroom or the hospital, where he visits his bedridden grandfather. However, this leisurely lifestyle soon takes a turn for the strange when he unknowingly encounters a cursed item. Triggering a chain of supernatural occurrences, Yuuji finds himself suddenly thrust into the world of Curses—dreadful beings formed from human malice and negativity—after swallowing the said item, revealed to be a finger belonging to the demon Sukuna Ryoumen, the ""King of Curses.""  Yuuji experiences first-hand the threat these Curses pose to society as he discovers his own newfound powers. Introduced to the Tokyo Metropolitan Jujutsu Technical High School, he begins to walk down a path from which he cannot return—the path of a Jujutsu sorcerer.  [Written by MAL Rewrite]";School;
13;Shingeki no Kyojin Season 3;https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3;;進撃の巨人 Season3;TV;12;Finished Airing;Jul 23, 2018 to Oct 15, 2018;Summer 2018;Mondays at 00:35 (JST);['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise'];Funimation;Wit Studio;Manga;['Action', 'Drama'];['Gore', 'Military', 'Survival'];Shounen;23 min. per ep.;R - 17+ (violence & profanity);8.62;#78;#18;2,140,343;19,340;['Crunchyroll', 'Netflix', ''];"Still threatened by the ""Titans"" that rob them of their freedom, mankind remains caged inside the two remaining walls. Efforts to eradicate these monsters continue; however, threats arise not only from the Titans beyond the walls, but from the humans within them as well.  After being rescued from the Colossal and Armored Titans, Eren Yaeger devotes himself to improving his Titan form. Krista Lenz struggles to accept the loss of her friend, Captain Levi chooses Eren and his friends to form his new personal squad, and Commander Erwin Smith recovers from his injuries. All seems well for the soldiers, until the government suddenly demands custody of Eren and Krista. The Survey Corps' recent successes have drawn attention, and a familiar face from Levi's past is sent to collect the wanted soldiers. Sought after by the government, Levi and his new squad must evade their adversaries in hopes of keeping Eren and Krista safe.  Eren and his fellow soldiers are not only fighting for their survival against the terrifying Titans, but also against the terror of a far more conniving foe: their fellow humans.  [Written by MAL Rewrite]";;
14;Code Geass: Hangyaku no Lelouch;https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch;;コードギアス 反逆のルルーシュ;TV;25;Finished Airing;Oct 6, 2006 to Jul 29, 2007;Fall 2006;Fridays at 01:25 (JST);['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Sony Music Entertainment', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners'];Funimation, Bandai Entertainment;Sunrise;Original;['Action', 'Award Winning', 'Drama', 'Sci-Fi'];['Mecha', 'Military', 'School', 'Super Power'];;24 min. per ep.;R - 17+ (violence & profanity);8.70;#52;#20;2,107,351;103,643;['Crunchyroll', 'Funimation', ''];"In the year 2010, the Holy Empire of Britannia is establishing itself as a dominant military nation, starting with the conquest of Japan. Renamed to Area 11 after its swift defeat, Japan has seen significant resistance against these tyrants in an attempt to regain independence.  Lelouch Lamperouge, a Britannian student, unfortunately finds himself caught in a crossfire between the Britannian and the Area 11 rebel armed forces. He is able to escape, however, thanks to the timely appearance of a mysterious girl named C.C., who bestows upon him Geass, the ""Power of Kings."" Realizing the vast potential of his newfound ""power of absolute obedience,"" Lelouch embarks upon a perilous journey as the masked vigilante known as Zero, leading a merciless onslaught against Britannia in order to get revenge once and for all.  [Written by MAL Rewrite]";;
15;One Piece;https://myanimelist.net/anime/21/One_Piece;OP;ONE PIECE;TV;Unknown;Currently Airing;Oct 20, 1999 to ?;Fall 1999;Sundays at 09:30 (JST);['Fuji TV', 'TAP', 'Shueisha'];Funimation, 4Kids Entertainment;Toei Animation;Manga;['Action', 'Adventure', 'Fantasy'];;Shounen;24 min.;PG-13 - Teens 13 or older;8.68;#57;#21;2,096,008;190,337;['Crunchyroll', 'Funimation', '', ''];"Gol D. Roger was known as the ""Pirate King,"" the strongest and most infamous being to have sailed the Grand Line. The capture and execution of Roger by the World Government brought a change throughout the world. His last words before his death revealed the existence of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece—which promises an unlimited amount of riches and fame—and quite possibly the pinnacle of glory and the title of the Pirate King.  Enter Monkey D. Luffy, a 17-year-old boy who defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate ransacking villages for fun, Luffy's reason for being a pirate is one of pure wonder: the thought of an exciting adventure that leads him to intriguing people and ultimately, the promised treasure. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach the most coveted of all fortunes—One Piece.  [Written by MAL Rewrite]";;
16;Noragami;https://myanimelist.net/anime/20507/Noragami;;ノラガミ;TV;12;Finished Airing;Jan 5, 2014 to Mar 23, 2014;Winter 2014;Sundays at 23:30 (JST);['Avex Entertainment', 'Dentsu', 'Shochiku', 'Kodansha', 'Movic', 'Ai Addiction', 'Lawson HMV Entertainment', 'A-Sketch'];Funimation;Bones;Manga;['Action', 'Fantasy'];;Shounen;24 min. per ep.;PG-13 - Teens 13 or older;7.96;#629;#25;2,039,156;32,210;['Crunchyroll', 'Funimation', ''];"In times of need, if you look in the right place, you just may see a strange telephone number scrawled in red. If you call this number, you will hear a young man introduce himself as the Yato God.  Yato is a minor deity and a self-proclaimed ""Delivery God,"" who dreams of having millions of worshippers. Without a single shrine dedicated to his name, however, his goals are far from being realized. He spends his days doing odd jobs for five yen apiece, until his weapon partner becomes fed up with her useless master and deserts him.  Just as things seem to be looking grim for the god, his fortune changes when a middle school girl, Hiyori Iki, supposedly saves Yato from a car accident, taking the hit for him. Remarkably, she survives, but the event has caused her soul to become loose and hence able to leave her body. Hiyori demands that Yato return her to normal, but upon learning that he needs a new partner to do so, reluctantly agrees to help him find one. And with Hiyori's help, Yato's luck may finally be turning around.  [Written by MAL Rewrite]";Mythology;
17;Boku no Hero Academia 3rd Season;https://myanimelist.net/anime/36456/Boku_no_Hero_Academia_3rd_Season;;僕のヒーローアカデミア;TV;25;Finished Airing;Apr 7, 2018 to Sep 29, 2018;Spring 2018;Saturdays at 17:30 (JST);['Dentsu', 'Yomiuri Telecasting', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha'];Funimation;Bones;Manga;;['School', 'Super Power'];Shounen;23 min. per ep.;PG-13 - Teens 13 or older;8.05;#518;#26;2,033,481;12,764;['Crunchyroll', 'Netflix'];"As summer arrives for the students at UA Academy, each of these superheroes-in-training puts in their best efforts to become renowned heroes. They head off to a forest training camp run by UA's pro heroes, where the students face one another in battle and go through dangerous tests, improving their abilities and pushing past their limits. However, their school trip is suddenly turned upside down when the League of Villains arrives, invading the camp with a mission to capture one of the students.  Boku no Hero Academia 3rd Season follows Izuku ""Deku"" Midoriya, an ambitious student training to achieve his dream of becoming a hero similar to his role model—All Might. Being one of the students caught up amidst the chaos of the villain attack, Deku must take a stand with his classmates and fight for their survival.  [Written by MAL Rewrite]";;Action
18;Shingeki no Kyojin Season 3 Part 2;https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2;;進撃の巨人 Season3 Part.2;TV;10;Finished Airing;Apr 29, 2019 to Jul 1, 2019;Spring 2019;Mondays at 00:10 (JST);['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise'];Funimation;Wit Studio;Manga;['Action', 'Drama'];['Gore', 'Military', 'Survival'];Shounen;23 min. per ep.;R - 17+ (violence & profanity);9.06;#6;#27;2,027,556;54,054;['Crunchyroll', 'Netflix', ''];"Seeking to restore humanity's diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again.  Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy's absence, discovers distressing signs of a potential scheme against them.  Shingeki no Kyojin Season 3 Part 2 follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family's basement.  [Written by MAL Rewrite]";;
19;Akame ga Kill!;https://myanimelist.net/anime/22199/Akame_ga_Kill;Akame ga Kiru!;アカメが斬る！;TV;24;Finished Airing;Jul 7, 2014 to Dec 15, 2014;Summer 2014;Mondays at 00:00 (JST);['Square Enix', 'TOHO animation'];Sentai Filmworks;White Fox;Manga;['Action', 'Fantasy'];['Gore', 'Super Power'];Shounen;23 min. per ep.;R - 17+ (violence & profanity);7.47;#1809;#29;1,957,049;27,657;['Crunchyroll', 'HIDIVE'];Night Raid is the covert assassination branch of the Revolutionary Army, an uprising assembled to overthrow Prime Minister Honest, whose avarice and greed for power has led him to take advantage of the child emperor's inexperience. Without a strong and benevolent leader, the rest of the nation is left to drown in poverty, strife, and ruin. Though the Night Raid members are all experienced killers, they understand that taking lives is far from commendable and that they will likely face retribution as they mercilessly eliminate anyone who stands in the revolution's way.  This merry band of assassins' newest member is Tatsumi, a naïve boy from a remote village who had embarked on a journey to help his impoverished hometown and was won over by not only Night Raid's ideals, but also their resolve. Akame ga Kill! follows Tatsumi as he fights the Empire and comes face-to-face with powerful weapons, enemy assassins, challenges to his own morals and values, and ultimately, what it truly means to be an assassin with a cause.  [Written by MAL Rewrite];;
