;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;demographic;duration;rating;score;ranked;popularity;members;favorites;platforms;synopsis;theme;genre
3;Gibiate;https://myanimelist.net/anime/40074/Gibiate;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;ジビエート;TV;12;Finished Airing;Jul 15, 2020 to Sep 30, 2020;['Nexon', 'Age Global Networks', 'Forecast Communications', 'Crunchyroll'];None found, add some;Studio Elle, l-a-unch・BOX;Original;['Action', 'Fantasy', 'Horror'];['Martial Arts', 'Samurai'];;24 min. per ep.;R - 17+ (violence & profanity);3.81;#13699;#2462;64,824;54;['Crunchyroll', 'Netflix'];"The story takes place in Japan. The year is 2030 and Earth has been completely overrun by a viral disease named ""Gibia"" that turns infected people into various different monsters, based on their age, sex, and race.  A samurai and a ninja from the early Edo period travel together through time and arrive in a ruined Japan to aid a professor working on a cure for the virus.  Together, they fight countless Gibia monsters, outlaws, and other fierce foes on their journey to save mankind.";;Summer 2020;Wednesdays at 22:00 (JST);
4;Hametsu no Mars;https://myanimelist.net/anime/413/Hametsu_no_Mars;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;破滅のマルス;OVA;1;Finished Airing;Jul 6, 2005;['Idea Factory', 'King Records', 'Design Factory'];None found, add some;WAO World;Visual novel;['Horror', 'Sci-Fi'];;;19 min.;R - 17+ (violence & profanity);2.22;#13763;#2463;64,786;292;[];"Several months after a probe returning from Mars burns up during reentry, strange creatures dubbed ""Ancients"" begin to appear throughout Tokyo. Aggressive and dangerous, they cannot be killed with ordinary weapons. As scientists struggle to find the cause of their sudden appearance, the monsters wreak havoc across the world.  Humanity finds hope in the form of the MARS suit—a new weapon developed to take down these enemies. The suit, however, can only be worn by those with specific DNA. Enter Takeru Hinata, an ordinary teen with a troubled past and one of the few capable of piloting the only weapon against the Ancients. With the help of the AAST, a special police force established to defeat the dangerous creatures, the young man battles against demons both personal and global whilst trying to discover the true nature of Earth's new aggressors.  [Written by MAL Rewrite]";;;;
5;Petshop of Horrors;https://myanimelist.net/anime/326/Petshop_of_Horrors;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;Pet Shop of Horrors (ペットショップ・オブ・ホラーズ);TV;4;Finished Airing;Mar 2, 1999 to Mar 23, 1999;['Trans Arts', 'TBS'];Sentai Filmworks, Urban Vision;Madhouse;Manga;['Horror', 'Mystery', 'Supernatural'];;Josei;23 min. per ep.;R - 17+ (violence & profanity);7.24;#2860;#2488;63,884;397;['HIDIVE'];"Count D, a quite interesting pet shop owner from an area called Chinatown, sells rare and hard to come by pets to people longing for something special, but with each sale comes a contract. If the rules of the contract are followed, everything goes fine, but if someone should break the rules of the contract, the pet shop cannot be held responsible for anything unfortunate that might happen. Leon Orcot, a homicide detective, has linked many odd and unexplainable deaths together; they all were customers of Count D's pet shop, and he intends to find out why.  (Source: ANN)";;Winter 1999;Unknown;
6;Ayashi no Ceres;https://myanimelist.net/anime/104/Ayashi_no_Ceres;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;妖しのセレス;TV;24;Finished Airing;Apr 20, 2000 to Sep 28, 2000;['Bandai Visual'];VIZ Media, Discotek Media;Pierrot;Manga;['Adventure', 'Drama', 'Horror', 'Romance', 'Supernatural', 'Suspense'];['Psychological', 'Reincarnation'];Shoujo;21 min. per ep.;R - 17+ (violence & profanity);7.19;#3152;#2576;59,898;472;['Crunchyroll'];"Ceres was a tennyo (Celestial maiden) who came down from the heavens to bathe in a stream. She hung her hagoromo (robe) on a tree nearby, which was her key to returning to the heavens. But the robe was stolen and the man who had stolen it forced her to become his wife, thus producing a family full of human and tennyo blood mixed.  Now, in modern day time, Aya Mikage is a descendent of Ceres, and has quite an amount of tennyo blood. On her 16th birthday, she and her twin brother, Aki, are thrown a party. At the ""party,"" Aya's grandpa plans to kill her, for she has tennyo powers unlike the rest of the family, and can actually become Ceres herself and destroy the Mikage family. Aya, however, can switch back, so this transformation happens quite frequently.  With protector Yuuhi by her side, it is up to Aya to control Ceres and keep her from coming back, but her relationship with an ex-worker for her evil grandpa may be a distraction.";;Spring 2000;Thursdays at 18:30 (JST);
7;Chika Gentou Gekiga: Shoujo Tsubaki;https://myanimelist.net/anime/2981/Chika_Gentou_Gekiga__Shoujo_Tsubaki;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Maiden Camellia, Mr. Arashi's Amazing Freak Show;地下幻燈劇画 少女椿;Movie;1;Finished Airing;May 2, 1992;['Imagica'];None found, add some;Mippei Eigeki Kiryuukan;Manga;['Drama', 'Horror'];['Gore', 'Historical'];;47 min.;R+ - Mild Nudity;4.76;#13335;#2605;58,833;341;[];"In the 1920s, a poverty-stricken 12-year-old girl named Midori resorts to selling camellias in the slums of Tokyo. Midori finds little success until, one day, she is approached by a gentleman who offers his sympathy and aid. When her bedridden mother succumbs to an illness, and with no one else to turn to, Midori visits the man's address. To her horror, she discovers that she has been conned into joining his circus troupe, Aka Neko Za—a traveling freak show consisting of vulgar and deformed performers.  Midori compares her new fairground lifestyle to hell. Not only is she responsible for caring for her colleagues and cleaning up after them, but she also is frequently belittled and cruelly abused. Suffering and uncertain of what will become of her, she finally begins to feel at ease when Wonder Masamitsu, a master illusionist, joins the lineup. Smitten by Midori's beauty and innocence, Masamitsu takes her under his wing; but even as their love grows, dark times loom ahead for Midori and her fellow freaks.  [Written by MAL Rewrite]";;;;
8;Gyo;https://myanimelist.net/anime/10417/Gyo;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;ギョ;Movie;1;Finished Airing;Oct 29, 2011;['Aniplex'];Aniplex of America;ufotable;Manga;;;;1 hr. 10 min.;R+ - Mild Nudity;5.34;#12207;#2613;58,237;53;[];Though her trip to Okinawa was supposed to be a lovely excursion to the seaside, college student Kaori Sawahara finds that it is anything but when a horrifying menace emerges from the watery depths. A strange mechanism has taken control of the sea creatures, granting them legs and sending them on land to attack anything in their way. Kaori and her friends—the lustful Erika and the reserved Aki—find themselves caught up in this onslaught, made worse by the creatures' rotting stench of death.  Surviving the first assault, Kaori tries to contact her fiancé Tadashi in Tokyo. However, the call is cut short in what sounds like another fish attack. Fearing for his safety, Kaori leaves for Tokyo. With Erika and Aki contending with the attacks in Okinawa, Kaori rushes to find Tadashi, unaware that the crisis has only just begun.  [Written by MAL Rewrite];;;;Horror
9;Jigoku Shoujo: Yoi no Togi;https://myanimelist.net/anime/34966/Jigoku_Shoujo__Yoi_no_Togi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Hell Girl 4, Jigoku Shoujo 4;地獄少女 宵伽;TV;6;Finished Airing;Jul 15, 2017 to Aug 19, 2017;['Aniplex', 'Fujishouji'];Aniplex of America;Studio Deen;Original;['Horror', 'Mystery', 'Supernatural'];;;23 min. per ep.;R - 17+ (violence & profanity);6.59;#6123;#2643;57,059;67;['Crunchyroll'];If you have a grudge against someone, you can access the Hell Correspondence website at the stroke of midnight, type in your grudge's name, and the Hell Girl, Ai Enma, will appear to grant your wish. However, the price for ridding yourself of such a burden is a steep one: in return for condemning the soul of your tormentor to Hell, your soul will also face eternal damnation. In her long vigil as the Hell Girl, Ai has met many willing to pay such a cost.  In Jigoku Shoujo: Yoi no Togi, Ai and her enigmatic companions continue to carry out their work, ferrying soul after suffering soul into the depths of Hell. However, as of late, a mysterious girl has been following them. This strange child, unable to even remember her own identity, questions Ai about her duty as the Hell Girl. Who is this girl, and what connection does she have to Ai?  [Written by MAL Rewrite];Psychological;Summer 2017;Saturdays at 00:00 (JST);
10;Yami no Matsuei;https://myanimelist.net/anime/553/Yami_no_Matsuei;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Descent into Darkness, The Darker Descendant;闇の末裔;TV;13;Finished Airing;Oct 2, 2000 to Dec 18, 2000;['Starchild Records', 'Movic'];Central Park Media, Discotek Media;J.C.Staff;Manga;['Boys Love', 'Comedy', 'Drama', 'Fantasy', 'Horror'];;Shoujo;23 min. per ep.;R - 17+ (violence & profanity);7.04;#3924;#2728;53,667;391;[];"Even after death, life is full of paperwork and criminals. Tsuzuki Asato is a 26 year old, happy-go-lucky, and dorky shinigami (god of death) whose job is to makes sure that those who are dead remain dead and stay in their proper realms. Even though he's had this job for over 70 years, he is in the worst division with horrible pay. He also has a knack for not keeping partners (since shinigami work in pairs), but now he seems to have one that will stick around; stubborn, smart-mouthed, serious and defensive 16 year old, Kurosaki Hisoka. With each case they investigate, they come closer to the conspiracies of the serial killer Dr. Muraki Kazutaka. Tsuzuki's relationship with Hisoka is growing stronger and closer...but there is a dark past to how Tsuzuki died that will not give him peace.  (Source: ANN)";Vampire;Fall 2000;Unknown;
11;Youjuu Toshi;https://myanimelist.net/anime/1107/Youjuu_Toshi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Demon Beast City, Supernatural Beast City, Yoju Toshi;妖獣都市;Movie;1;Finished Airing;Apr 25, 1987;['Japan Home Video', 'Streamline Pictures'];Discotek Media, Urban Vision;Madhouse;Novel;['Action', 'Adventure', 'Drama', 'Horror'];['Gore', 'Mythology', 'Super Power'];;1 hr. 22 min.;R+ - Mild Nudity;6.44;#7037;#2858;49,264;196;[];There is Earth, our familiar world, and then there is the Black World, a parallel dimension that very few people are aware of. For centuries, a pact between the two worlds has been observed to maintain peace, and terms must be negotiated and renewed soon to continue relative harmony.  This time around, there is a militant faction that will stop at nothing to prevent the signing of a new treaty for inter-dimensional peace. Two agents of the elite organization known as the Black guards—defenders of the balance between the two worlds—are charged with ensuring the success of the treaty.  Director Yoshiaki Kawajiri (Ninja Scroll) blends stylish eroticism, graphic horror and pulse-pounding action as these two race to consummate the peace treaty in time.  (Source: AniDB);;;;
12;Dorohedoro: Ma no Omake;https://myanimelist.net/anime/41053/Dorohedoro__Ma_no_Omake;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Dorohedoro OVA;ドロヘドロ 魔のおまけ;Special;6;Finished Airing;Jun 17, 2020;['None found', 'add some'];None found, add some;MAPPA;Manga;['Action', 'Comedy', 'Fantasy', 'Horror'];;Seinen;5 min. per ep.;R+ - Mild Nudity;7.10;#3622;#2873;48,798;73;[];Dorohedoro: Ma no Omake further explores the world of sorcerers and the Hole, honing in on what the characters do in their spare time when they are not seeking out their enemies.  Kamen Kakusa Fujita attends a mask conjuring ritual in hopes of a Devil bestowing him with an appropriate mask, like the ones his colleagues Noi and Shin possess. Hopefully his offering entices the mask-maker!  Tenpo For You Nikaidou, lacking money and forced to sell gyoza on the streets of the Hole, stumbles upon a quaint shop selling tea and sweets. Its owner is the gentle and hospitable Syueron, but it seems the denizens of the Hole bear a grudge against him.  Shitappa Seishun Graffiti Intrigued by the photographs hanging around the mansion, Ebisu approaches En hoping for a portrait of her own. However, she is disappointed to find that only members of the En Family can have their pictures taken.  Anata no Shiranai Gyoza no Kai The Gyoza Fairy keeps the Hungry Bug in pristine condition, but his primary responsibility is ensuring the gyoza tastes good. So he becomes rather agitated when Nikaidou's customers do not properly enjoy their meals.  Odoru Ma no Utage En is enthusiastic about his masquerade ball and is adamant on his family's participation. Per tradition, attendees must choose a partner and dance to appease the Devils. To their horror, they discover that failing to do so may incur nasty consequences!  Yokaze ni Fukarete Ooba Kinenbi Nikaidou gives detailed instructions on preparing oba gyoza and Kaiman is eager to help!  [Written by MAL Rewrite];;;;
