;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;demographic;duration;rating;score;ranked;popularity;members;favorites;platforms;synopsis;theme;genre
0;Tokyo Ghoul;https://myanimelist.net/anime/22319/Tokyo_Ghoul;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Tokyo Kushu, Toukyou Kushu, Toukyou Ghoul;東京喰種-トーキョーグール-;TV;12;Finished Airing;Jul 4, 2014 to Sep 19, 2014;Summer 2014;Fridays at 00:00 (JST);['Marvelous AQL', 'TC Entertainment', 'Shueisha'];Funimation;Pierrot;Manga;['Action', 'Fantasy', 'Horror'];['Gore', 'Psychological'];Seinen;24 min. per ep.;R - 17+ (violence & profanity);7.79;#935;#9;2,644,835;48,486;['Crunchyroll', 'Funimation', '', ''];"A sinister threat is invading Tokyo: flesh-eating ""ghouls"" who appear identical to humans and blend into their population. Reserved college student Ken Kaneki buries his nose in books and avoids the news of the growing crisis. However, the appearance of an attractive woman named Rize Kamishiro shatters his solitude when she forwardly asks him on a date.  While walking Rize home, Kaneki discovers she isn't as kind as she first appeared, and she has led him on with sinister intent. After a tragic struggle, he later awakens in a hospital to learn his life was saved by transplanting the now deceased Rize's organs into his own body.  Kaneki's body begins to change in horrifying ways, and he transforms into a human-ghoul hybrid. As he embarks on his new dreadful journey, Kaneki clings to his humanity in the evolving bloody conflict between society's new monsters and the government agents who hunt them.  [Written by MAL Rewrite]";;
1;Kiseijuu: Sei no Kakuritsu;https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Parasite, Parasitic Beasts, Parasyte;寄生獣 セイの格率;TV;24;Finished Airing;Oct 9, 2014 to Mar 26, 2015;Fall 2014;Thursdays at 01:29 (JST);['VAP', 'Kodansha', 'Nippon Television Network', 'Forecast Communications'];Sentai Filmworks;Madhouse;Manga;['Action', 'Horror', 'Sci-Fi'];['Gore', 'Psychological'];Seinen;23 min. per ep.;R - 17+ (violence & profanity);8.34;#206;#42;1,742,705;32,977;['Crunchyroll', 'HIDIVE', '', ''];All of a sudden, they arrived: parasitic aliens that descended upon Earth and quickly infiltrated humanity by burrowing into the brains of vulnerable targets. These insatiable beings acquire full control of their host and are able to morph into a variety of forms in order to feed on unsuspecting prey.  Sixteen-year-old high school student Shinichi Izumi falls victim to one of these parasites, but it fails to take over his brain, ending up in his right hand instead. Unable to relocate, the parasite, now named Migi, has no choice but to rely on Shinichi in order to stay alive. Thus, the pair is forced into an uneasy coexistence and must defend themselves from hostile parasites that hope to eradicate this new threat to their species.  [Written by MAL Rewrite];;
2;Tokyo Ghoul √A;https://myanimelist.net/anime/27899/Tokyo_Ghoul_%E2%88%9AA;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Tokyo Ghoul Root A, Tokyo Ghoul 2nd Season, Tokyo Ghoul Second Season;東京喰種√A;TV;12;Finished Airing;Jan 9, 2015 to Mar 27, 2015;Winter 2015;Fridays at 00:00 (JST);['Marvelous AQL', 'Shueisha'];Funimation;Pierrot;Manga;['Action', 'Fantasy', 'Horror'];['Gore', 'Psychological'];Seinen;24 min. per ep.;R - 17+ (violence & profanity);7.03;#3954;#45;1,676,738;10,250;['Crunchyroll', 'Shahid'];Ken Kaneki has finally come to accept the monstrous, flesh-craving part of himself that he has feared and despised for so long. After escaping captivity and torture, Kaneki joins Aogiri Tree—the very militant ghoul organization that had abducted him, leading his friends to question his true motive and loyalty.  As tension between the government and the ghouls continues to rise, the Commission of Counter Ghoul, the government's specialized anti-ghoul agency, has intensified their efforts to completely purge Tokyo of ghouls. This threatens the transient peace of Kaneki's friends and former comrades—the ghouls at the Anteiku coffee shop. Aware of the dangerous situation, Kaneki faces several battles that puts his precious fleeting humanity on the line.  [Written by MAL Rewrite];;
3;Another;https://myanimelist.net/anime/11111/Another;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;アナザー;TV;12;Finished Airing;Jan 10, 2012 to Mar 27, 2012;Winter 2012;Unknown;['Lantis', 'Kadokawa Shoten', 'Toho', 'KlockWorx', 'Bandai Namco Live Creative', 'NTT Docomo'];Sentai Filmworks;P.A. Works;Novel;['Horror', 'Mystery', 'Supernatural'];['Gore', 'School'];;24 min. per ep.;R - 17+ (violence & profanity);7.48;#1795;#55;1,577,349;16,793;['Crunchyroll', 'Netflix'];"In class 3-3 of Yomiyama North Junior High, transfer student Kouichi Sakakibara makes his return after taking a sick leave for the first month of school. Among his new classmates, he is inexplicably drawn toward Mei Misaki—a reserved girl with an eyepatch whom he met in the hospital during his absence. But none of his classmates acknowledge her existence; they warn him not to acquaint himself with things that do not exist. Against their words of caution, Kouichi befriends Mei—soon learning of the sinister truth behind his friends' apprehension.  The ominous rumors revolve around a former student of the class 3-3. However, no one will share the full details of the grim event with Kouichi. Engrossed in the curse that plagues his class, Kouichi sets out to discover its connection to his new friend. As a series of tragedies arise around them, it is now up to Kouichi, Mei, and their classmates to unravel the eerie mystery—but doing so will come at a hefty price.  [Written by MAL Rewrite]";;
4;Elfen Lied;https://myanimelist.net/anime/226/Elfen_Lied;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Elfen Song, Elfic Song, Elf Song;エルフェンリート;TV;13;Finished Airing;Jul 25, 2004 to Oct 17, 2004;Summer 2004;Sundays at 22:30 (JST);['VAP', 'Genco', 'Studio Guts'];ADV Films;Arms;Manga;['Action', 'Drama', 'Horror', 'Romance', 'Supernatural'];['Gore', 'Psychological'];Seinen;25 min. per ep.;R+ - Mild Nudity;7.49;#1766;#70;1,441,095;23,292;['HIDIVE'];"Lucy is a special breed of human referred to as ""Diclonius,"" born with a short pair of horns and invisible telekinetic hands that lands her as a victim of inhumane scientific experimentation by the government. However, once circumstances present her an opportunity to escape, Lucy, corrupted by the confinement and torture, unleashes a torrent of bloodshed as she escapes her captors.  During her breakout, she receives a crippling head injury that leaves her with a split personality: someone with the mentality of a harmless child possessing limited speech capacity. In this state of instability, she stumbles upon two college students, Kouta and his cousin Yuka, who unknowingly take an injured fugitive into their care, unaware of her murderous tendencies. This act of kindness will change their lives, as they soon find themselves dragged into the shadowy world of government secrecy and conspiracy.  [Written by MAL Rewrite]";;
5;Highschool of the Dead;https://myanimelist.net/anime/8074/Highschool_of_the_Dead;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Gakuen Mokushiroku: Highschool of the Dead, HOTD, HSOTD;学園黙示録 HIGHSCHOOL OF THE DEAD;TV;12;Finished Airing;Jul 5, 2010 to Sep 20, 2010;Summer 2010;Mondays at 11:30 (JST);['Geneon Universal Entertainment', 'AT-X', 'Showgate'];Sentai Filmworks;Madhouse;Manga;['Action', 'Horror', 'Supernatural', 'Ecchi'];['Gore', 'Survival'];Shounen;24 min. per ep.;R+ - Mild Nudity;7.08;#3698;#72;1,425,591;9,743;['HIDIVE', 'Netflix'];"It happened suddenly: The dead began to rise and Japan was thrown into total chaos. As these monsters begin terrorizing a high school, Takashi Kimuro is forced to kill his best friend when he gets bitten and joins the ranks of the walking dead. Vowing to protect Rei Miyamoto, the girlfriend of the man he just executed, they narrowly escape their death trap of a school, only to be greeted with a society that has already fallen.  Soon, Takashi and Rei band together with other students on a journey to find their family members and uncover what caused this overwhelming pandemic. Joining them is Saeko Busujima, the beautiful president of the Kendo Club; Kouta Hirano, an otaku with a fetish for firearms; Saya Takagi, the daughter of an influential politician; and Shizuka Marikawa, their hot school nurse. But will the combined strength of these individuals be enough to conquer this undead apocalypse?  [Written by MAL Rewrite]";;
6;Deadman Wonderland;https://myanimelist.net/anime/6880/Deadman_Wonderland;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;DEADMAN WONDERLAND;デッドマン・ワンダーランド;TV;12;Finished Airing;Apr 17, 2011 to Jul 3, 2011;Spring 2011;Sundays at 01:00 (JST);['Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'AMG MUSIC'];Funimation;Manglobe;Manga;['Action', 'Horror', 'Sci-Fi', 'Supernatural'];['Gore', 'High Stakes Game', 'Survival'];Shounen;24 min. per ep.;R - 17+ (violence & profanity);7.16;#3320;#102;1,180,580;6,591;['Crunchyroll', 'Funimation'];"It looked like it would be a normal day for Ganta Igarashi and his classmates—they were preparing to go on a class field trip to a certain prison amusement park called Deadman Wonderland, where the convicts perform dangerous acts for the onlookers' amusement. However, Ganta's life is quickly turned upside down when his whole class gets massacred by a mysterious man in red. Framed for the incident and sentenced to death, Ganta is sent to the very jail he was supposed to visit.  But Ganta's nightmare is only just beginning.  The young protagonist is thrown into a world of sadistic inmates and enigmatic powers, to live in constant fear of the lethal collar placed around his neck that is slowed only by winning in the prison's deathly games. Ganta must bet his life to survive in a ruthless place where it isn't always easy to tell friend from foe, all while trying to find the mysterious ""Red Man"" and clear his name, in Deadman Wonderland.  [Written by MAL Rewrite]";;
7;Tokyo Ghoul:re;https://myanimelist.net/anime/36511/Tokyo_Ghoul_re;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Tokyo Kushu:re, Toukyou Kuushu:re;東京喰種トーキョーグール：re;TV;12;Finished Airing;Apr 3, 2018 to Jun 19, 2018;Spring 2018;Tuesdays at 23:00 (JST);['Marvelous', 'TC Entertainment'];Funimation;Pierrot, Pierrot Plus;Manga;['Action', 'Fantasy', 'Horror'];['Gore', 'Psychological'];Seinen;24 min. per ep.;R - 17+ (violence & profanity);6.38;#7354;#121;1,093,269;3,719;['Crunchyroll', 'Netflix', ''];Two years have passed since the CCG's raid on Anteiku. Although the atmosphere in Tokyo has changed drastically due to the increased influence of the CCG, ghouls continue to pose a problem as they have begun taking caution, especially the terrorist organization Aogiri Tree, who acknowledge the CCG's growing threat to their existence.  The creation of a special team, known as the Quinx Squad, may provide the CCG with the push they need to exterminate Tokyo's unwanted residents. As humans who have undergone surgery in order to make use of the special abilities of ghouls, they participate in operations to eradicate the dangerous creatures. The leader of this group, Haise Sasaki, is a half-ghoul, half-human who has been trained by famed special class investigator, Kishou Arima. However, there's more to this young man than meets the eye, as unknown memories claw at his mind, slowly reminding him of the person he used to be.  [Written by MAL Rewrite];;
8;Devilman: Crybaby;https://myanimelist.net/anime/35120/Devilman__Crybaby;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;DEVILMAN crybaby;ONA;10;Finished Airing;Jan 5, 2018;;;['Aniplex', 'Dynamic Planning', 'Netflix'];None found, add some;Science SARU;Manga;['Action', 'Avant Garde', 'Horror', 'Supernatural'];['Gore', 'Mythology'];Shounen;25 min. per ep.;R+ - Mild Nudity;7.76;#992;#129;1,052,985;22,543;['Netflix'];Devils cannot take form without a living host. However, if the will of an individual is strong enough, they can overcome the demon and make its power their own, becoming a Devilman.  Weak and unassuming, Akira Fudou has always had a bleeding heart. So when his childhood friend Ryou Asuka asks for his help in uncovering devils, Akira accepts without hesitation. However, to Akira's surprise, the place they go to is Sabbath: an immoral party of debauchery and degeneracy. Amidst bloodshed and death, demons possess the partiers, turning their bodies into grotesque monsters, and begin wreaking havoc. In a reckless attempt to save his best friend, Akira unwittingly merges with the devil Amon and becomes a Devilman, gaining the power to defeat the remaining demons.  Though it grants him great power, this new partnership awakens an insatiable and primeval part of Akira. Having the body of a devil but the same crybaby heart, Akira works alongside Ryou, destroying those that harm humanity and his loved ones.  [Written by MAL Rewrite];;
9;Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation;https://myanimelist.net/anime/16592/Danganronpa__Kibou_no_Gakuen_to_Zetsubou_no_Koukousei_The_Animation;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Dangan Ronpa: The Animation;ダンガンロンパ 希望の学園と絶望の高校生 THE ANIMATION;TV;13;Finished Airing;Jul 5, 2013 to Sep 27, 2013;Summer 2013;Fridays at 01:35 (JST);['Geneon Universal Entertainment', 'Studio Hibari', 'Mainichi Broadcasting System', 'Showgate'];Funimation;Lerche;Visual novel;['Horror', 'Mystery'];['High Stakes Game', 'Psychological', 'School', 'Survival'];;24 min. per ep.;R - 17+ (violence & profanity);7.22;#2984;#161;892,882;8,071;['Crunchyroll', 'Funimation'];Makoto Naegi, a teenager with no remarkable talent, is surprised to learn that he has been accepted into Hope's Peak Private Academy: an elite school that gathers the best students from various fields. Despite believing his admission was just a fluke, Naegi is delighted to attend an institution known for ensuring success to those who graduate. Determined, he enters the front doors of the prestigious academy.  However, after losing consciousness inside, Naegi wakes up in a seemingly abandoned classroom. Failing to comprehend how he got there, Naegi begins to explore, and to his surprise, finds his classmates assembled in the gym. While everyone is trying to figure out what happened, they are confronted by the school principal—Monokuma, a robotic teddy bear. The mysterious toy explains that the freshmen are trapped inside the school with only one means of escape—kill a classmate without being discovered.  Tension fills the air as Naegi and his classmates realize that they are faced with two choices: participate in Monokuma's killing game, or reside together in the school for the rest of their lives.  [Written by MAL Rewrite];;
10;Hellsing Ultimate;https://myanimelist.net/anime/777/Hellsing_Ultimate;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;HELLSING OVA;OVA;10;Finished Airing;Feb 10, 2006 to Dec 26, 2012;;;['Geneon Universal Entertainment', 'StudioRF Inc.', 'Shounen Gahousha'];Funimation, Geneon Entertainment USA;Madhouse, Satelight, Graphinica;Manga;['Action', 'Horror', 'Supernatural'];['Adult Cast', 'Gore', 'Military', 'Vampire'];Seinen;49 min. per ep.;R - 17+ (violence & profanity);8.36;#200;#170;870,084;20,602;['Crunchyroll', 'Funimation', ''];There exist creatures of darkness and evil that plague the night, devouring any human unfortunate enough to be caught in their grasp. On the other side is Hellsing, an organization dedicated to destroying these supernatural forces that threaten the very existence of humanity. At its head is Integra Fairbrook Wingates Hellsing, who commands a powerful military and spends her life fighting the undead.  Integra's vast army, however, pales in comparison with her ultimate weapon: the vampire Alucard, who works against his own kind as an exterminator for Hellsing. With his new vampire servant, Seras Victoria, at his side, Alucard must battle not only monsters, but all those who stand to oppose Hellsing, be they in the guise of good or evil.  In a battle for mankind's survival, Hellsing Ultimate proves that appearances are not all they may seem, and sometimes the greatest weapon can come in the form of one's worst nightmare.  [Written by MAL Rewrite];;
11;Tokyo Ghoul:re 2nd Season;https://myanimelist.net/anime/37799/Tokyo_Ghoul_re_2nd_Season;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Tokyo Kushu:re, Toukyou Kuushu:re;東京喰種トーキョーグール：re 第2期;TV;12;Finished Airing;Oct 9, 2018 to Dec 25, 2018;Fall 2018;Tuesdays at 23:00 (JST);['Marvelous', 'TC Entertainment', 'Shueisha'];Funimation;Pierrot, Pierrot Plus;Manga;['Action', 'Fantasy', 'Horror'];['Gore', 'Psychological'];Seinen;24 min. per ep.;R - 17+ (violence & profanity);6.42;#7151;#195;803,706;2,637;['Crunchyroll', 'Shahid'];After the conclusion of the Tsukiyama Family Extermination Operation, the members of the Commission of Counter Ghouls (CCG) have grown exponentially in power and continue to pursue their goal of exterminating every ghoul in Japan. Having resigned from Quinx Squad, the now seemingly emotionless Haise Sasaki begins taking on more and more tasks from the CCG with no regard to the difficulty. Despite his vacant expressions, Ken Kaneki's memories are resurfacing in Haise, leaving him in a state of internal conflict. Meanwhile, his new coldhearted behavior is affecting the people around him. Quinx Squad are left in shambles, having to cope with the death of one of their members without the support of their former mentor.  Amidst this turmoil, both Quinx Squad and Haise must continue to fulfill their duties to the CCG, whether willingly or not. However, the presence of a mysterious group behind the CCG has been made known to Haise, and certain whispers of corruption have not gone unheard by the Quinx Squad as well.  [Written by MAL Rewrite];;
12;Akira;https://myanimelist.net/anime/47/Akira;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;AKIRA（アキラ）;Movie;1;Finished Airing;Jul 16, 1988;;;['Mainichi Broadcasting System', 'Kodansha', 'Toho', 'Streamline Pictures'];Funimation, Bandai Entertainment, Geneon Entertainment USA;Tokyo Movie Shinsha;Manga;['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Supernatural'];['Gore', 'Military'];Seinen;2 hr. 4 min.;R+ - Mild Nudity;8.16;#382;#206;781,970;12,553;['Funimation', 'Netflix'];"Japan, 1988. An explosion caused by a young boy with psychic powers tears through the city of Tokyo and ignites the fuse that leads to World War III. In order to prevent any further destruction, he is captured and taken into custody, never to be heard from again. Now, in the year 2019, a restored version of the city known as Neo-Tokyo—an area rife with gang violence and terrorism against the current government—stands in its place. Here, Shoutarou Kaneda leads ""the Capsules,"" a group of misfits known for riding large, custom motorcycles and being in constant conflict with their rivals ""the Clowns.""  During one of these battles, Shoutarou's best friend Tetsuo Shima is caught up in an accident with an esper who finds himself in the streets of Tokyo after escaping confinement from a government institution. Through this encounter, Tetsuo begins to develop his own mysterious abilities, as the government seeks to quarantine this latest psychic in a desperate attempt to prevent him from unleashing the destructive power that could once again bring the city to its knees.  [Written by MAL Rewrite]";;
13;Higurashi no Naku Koro ni;https://myanimelist.net/anime/934/Higurashi_no_Naku_Koro_ni;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;When the Cicadas Cry, The Moment the Cicadas Cry;ひぐらしのなく頃に;TV;26;Finished Airing;Apr 5, 2006 to Sep 27, 2006;Spring 2006;Wednesdays at 01:30 (JST);['Geneon Universal Entertainment', 'Frontier Works', 'Sotsu', 'DAX Production'];Sentai Filmworks, Geneon Entertainment USA;Studio Deen;Visual novel;['Horror', 'Mystery', 'Supernatural', 'Suspense'];['Gore', 'Psychological'];;24 min. per ep.;R - 17+ (violence & profanity);7.89;#747;#220;768,811;20,489;['HIDIVE', 'Netflix'];Keiichi Maebara has just moved to the quiet little village of Hinamizawa in the summer of 1983, and quickly becomes inseparable friends with schoolmates Rena Ryuuguu, Mion Sonozaki, Satoko Houjou, and Rika Furude. However, darkness lurks underneath the seemingly idyllic life they lead.  As the village prepares for its annual festival, Keiichi learns about the local legends surrounding it. To his horror, he discovers that there have been several murders and disappearances in the village in the recent years, and that they all seem to be connected to the festival and the village's patron god, Oyashiro. Keiichi tries to ask his new friends about these incidents, but they are suspiciously silent and refuse to give him the answers he needs. As more and more bizarre events occur, he wonders just what else his friends might be keeping from him, and if he can even trust them at all.  When madness and paranoia begin taking root in Keiichi's heart, he will stumble straight into the mysteries at work in Higurashi no Naku Koro ni, a story that is told across multiple arcs.  [Written by MAL Rewrite];;
14;Koutetsujou no Kabaneri;https://myanimelist.net/anime/28623/Koutetsujou_no_Kabaneri;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;甲鉄城のカバネリ;TV;12;Finished Airing;Apr 8, 2016 to Jul 1, 2016;Spring 2016;Fridays at 00:55 (JST);['Aniplex', 'Dentsu', 'Fuji TV', 'Kyoraku Industrial Holdings', 'Kansai Telecasting'];Funimation, Crunchyroll;Wit Studio;Original;['Action', 'Drama', 'Fantasy', 'Horror'];['Gore', 'Historical', 'Survival'];;22 min. per ep.;R - 17+ (violence & profanity);7.27;#2702;#222;766,929;3,379;['Crunchyroll', 'Netflix'];"The world is in the midst of the industrial revolution when horrific creatures emerge from a mysterious virus, ripping through the flesh of humans to sate their never-ending appetite. The only way to kill these beings, known as ""Kabane,"" is by destroying their steel-coated hearts. However, if bitten by one of these monsters, the victim is doomed to a fate worse than death, as the fallen rise once more to join the ranks of their fellow undead.  Only the most fortified of civilizations have survived this turmoil, as is the case with the island of Hinomoto, where mankind has created a massive wall to protect themselves from the endless hordes of Kabane. The only way into these giant fortresses is via heavily-armored trains, which are serviced and built by young men such as Ikoma. Having created a deadly weapon that he believes will easily pierce through the hearts of Kabane, Ikoma eagerly awaits the day when he will be able to fight using his new invention. Little does he know, however, that his chance will come much sooner than he expected...  [Written by MAL Rewrite]";;
15;Shinsekai yori;https://myanimelist.net/anime/13125/Shinsekai_yori;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Shin Sekai Yori;新世界より;TV;25;Finished Airing;Sep 29, 2012 to Mar 23, 2013;Fall 2012;Saturdays at 00:30 (JST);['Aniplex', 'TV Asahi', 'Pony Canyon'];Sentai Filmworks;A-1 Pictures;Novel;['Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Supernatural'];;;22 min. per ep.;R - 17+ (violence & profanity);8.29;#255;#232;745,563;21,627;['Crunchyroll', 'HIDIVE', ''];In the town of Kamisu 66, 12-year-old Saki Watanabe has just awakened to her psychic powers and is relieved to rejoin her friends—the mischievous Satoru Asahina, the shy Mamoru Itou, the cheerful Maria Akizuki, and Shun Aonuma, a mysterious boy whom Saki admires—at Sage Academy, a special school for psychics. However, unease looms as Saki begins to question the fate of those unable to awaken to their powers, and the children begin to get involved with secretive matters such as the rumored Tainted Cats said to abduct children.  Shinsekai yori tells the unique coming-of-age story of Saki and her friends as they journey to grow into their roles in the supposed utopia. Accepting these roles, however, might not come easy when faced with the dark and shocking truths of society, and the impending havoc born from the new world.  [Written by MAL Rewrite];Psychological;
16;Hellsing;https://myanimelist.net/anime/270/Hellsing;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;Hellsing [ヘルシング];TV;13;Finished Airing;Oct 11, 2001 to Jan 17, 2002;Fall 2001;Unknown;['Fuji TV', 'Pioneer LDC'];Funimation, Geneon Entertainment USA;Gonzo;Manga;['Action', 'Horror', 'Supernatural'];['Adult Cast', 'Gore', 'Vampire'];Seinen;23 min. per ep.;R - 17+ (violence & profanity);7.49;#1771;#264;682,713;5,803;['Crunchyroll', 'Funimation', ''];Hellsing, an organization specializing in dealing with supernatural threats, is called in to eliminate a vampire that is turning the villagers of Cheddar into ghouls. To put an end to this, the leader of the organization, Sir Integra Fairbrook Wingates Hellsing, dispatches her most formidable asset: a powerful vampire known as Alucard.  Armed with only a single handgun, Alucard wreaks havoc on the monsters plaguing Cheddar. However, a young police officer, Seras Victoria, gets caught up in the chaos and becomes mortally wounded as a result. Taking pity on the girl, Alucard gives her a choice: die as a human or live on as a vampire. Seras accepts his offer and begins a new life as a member of Hellsing.  Though it was her decision, Seras struggles with the fact that she is no longer human. Nevertheless, she must embrace being a creature of the night soon if she wants to survive on the front lines in the fight between humans and the supernatural.  [Written by MAL Rewrite];;
17;Perfect Blue;https://myanimelist.net/anime/437/Perfect_Blue;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;パーフェクトブルー;Movie;1;Finished Airing;Feb 28, 1998;;;['Rex Entertainment', 'ONIRO'];GKIDS, Manga Entertainment;Madhouse;Novel;['Avant Garde', 'Drama', 'Horror'];['Adult Cast', 'Psychological', 'Showbiz'];;1 hr. 21 min.;R+ - Mild Nudity;8.53;#108;#297;627,796;16,973;[];"J-pop idol group CHAM! has spent the last two years entertaining its fans. Sadly, all good things must come to an end, and CHAM! must see one of its members, Mima Kirigoe, leave the group to pursue her acting career. While Mima's choice is met with a mixed response, she hopes her fans will continue to support her.  However, Mima's life begins to change drastically after her departure from the group. Wanting to shed her pop-idol image, she takes on a role in a crime drama series, and her career as an actress gradually becomes more demanding and taxing for both Mima and her manager, Rumi Hidaka. To add to Mima's growing unease, an obsessed fan who is incapable of accepting that Mima has quit being an innocent idol, begins stalking her; a new anonymous website begins to impersonate her life with intricate detail; and CHAM! also appears to be doing better without her. One by one, each disturbing development drives Mima to become increasingly unhinged and unable to distinguish reality from fantasy.  [Written by MAL Rewrite]";;
18;Satsuriku no Tenshi;https://myanimelist.net/anime/35994/Satsuriku_no_Tenshi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Angel of Massacre, Angel of Slaughter;殺戮の天使;TV;16;Finished Airing;Jul 6, 2018 to Oct 26, 2018;Summer 2018;Fridays at 20:30 (JST);['Lantis', 'AT-X', 'Kadokawa'];Funimation;J.C.Staff;Game;['Adventure', 'Horror', 'Suspense'];['Gore', 'Psychological'];;23 min. per ep.;R - 17+ (violence & profanity);6.96;#4252;#307;616,939;5,243;['Crunchyroll', 'Funimation', ''];With dead and lifeless eyes, Rachel Gardner wishes only to die. Waking up in the basement of a building, she has no idea how or why she's there. She stumbles across a bandaged murderer named Zack, who is trying to escape. After promising to kill her as soon as he is free, Rachel and Zack set out to ascend through the building floor by floor until they escape.  However, as they progress upward, they meet more twisted people, and all of them seem familiar with Rachel. What is her connection to the building, and why was she placed in it? Facing a new boss on each floor, can Rachel and Zack both achieve their wishes?  [Written by MAL Rewrite];;
19;Kenpuu Denki Berserk;https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Berserk: The Chronicles of Wind Blades, Sword-Wind Chronicle Berserk;剣風伝奇ベルセルク;TV;25;Finished Airing;Oct 8, 1997 to Apr 1, 1998;Fall 1997;Wednesdays at 01:45 (JST);['VAP', 'Hakusensha', 'Nippon Television Network'];Media Blasters, NYAV Post;OLM;Manga;['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror'];['Gore', 'Military', 'Mythology'];Seinen;25 min. per ep.;R+ - Mild Nudity;8.55;#100;#328;588,826;24,503;[];Guts, a man who will one day be known as the Black Swordsman, is a young traveling mercenary characterized by the large greatsword he carries. He accepts jobs that offer the most money, but he never stays with one group for long—until he encounters the Band of the Hawk. Ambushed after completing a job, Guts crushes many of its members in combat. Griffith, The Band of the Falcon's leader and founder, takes an interest in Guts and duels him. While the others are no match for Guts, Griffith defeats him in one blow.  Incapacitated and taken into the Band of the Hawk's camp to recover, Guts wakes up two days later. He confronts Griffith, and the two duel yet again, only this time with a condition: Guts will join the Band of the Falcon if he loses. Due to his fresh injuries, Guts loses the fight and is inducted by Griffith.  In three years' time, Guts has become one of the Band of the Hawk's commanders. On the battlefield, his combat prowess is second only to Griffith as he takes on large groups of enemies all on his own. With Guts' immense strength and Griffith's leadership, the Band of the Hawk dominate every battle they partake in. But something menacing lurks in the shadows, threatening to change Guts' life forever.  [Written by MAL Rewrite];;
