;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;duration;rating;score;ranked;popularity;members;favorites;demographic;platforms;synopsis;theme;genre
57;Visions of Frank: Short Films by Japan's Most Audacious Animators;https://myanimelist.net/anime/8928/Visions_of_Frank__Short_Films_by_Japans_Most_Audacious_Animators;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Visions of Frank: Short Films by Japan's Most Audacious Animators;OVA;9;Finished Airing;Nov 25, 2005;['None found', 'add some'];None found, add some;None found, add some;Unknown;Avant Garde;;5 min. per ep.;PG-13 - Teens 13 or older;5.77;#10522;#12574;933;0;;;;[];A series of 9 animated shorts based on the Frank comics by Jim Woodring, featuring computer/CGI, traditional cel, stop-motion, and even sand painting techniques. Contributing animators and musicians include COCOA, Eri Yoshimura, Naomi Nagata, TAMAPRO/DROP, Taruto Fuyama, Masaki Maito, Kanako Kawagushi, Masaya Sakaue, Bill Frisell, Dame Darcy, and Woodring himself.;
58;Color Noise;https://myanimelist.net/anime/33312/Color_Noise;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;ONA;1;Finished Airing;Jun 4, 2010;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;30 sec.;G - All Ages;4.46;#13557;#12588;931;0;;;;[];Short animation by Yutaro Kubo.;
59;Kappo;https://myanimelist.net/anime/28647/Kappo;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;かっぽ;Movie;1;Finished Airing;2006;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;Music;4 min.;G - All Ages;4.24;#13638;#12599;927;2;;;;[];Legs and shoes float across the screen in this short film by Yoriko Mizushiri.;
60;Southpaw;https://myanimelist.net/anime/40312/Southpaw;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;サウスポー;Music;1;Finished Airing;Aug 27, 2019;['NBCUniversal Entertainment Japan'];None found, add some;None found, add some;Original;;Music;1 min.;PG-13 - Teens 13 or older;5.39;#12033;#12602;928;6;['Avant Garde', 'Comedy'];;;[];Music video for Southpaw by Kuricorder Quartet.;
61;Count Down;https://myanimelist.net/anime/29957/Count_Down;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;カウントダウン;Movie;1;Finished Airing;2011;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;36 sec.;G - All Ages;4.07;#13675;#12609;925;0;;;;[];In a frenzy of dancing and dining, guests excitedly count down to the start of the ArtPath 2011 exhibition.  [Written by MAL Rewrite];Countdown
62;Natsu no Gero wa Fuyu no Sakana;https://myanimelist.net/anime/33220/Natsu_no_Gero_wa_Fuyu_no_Sakana;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;夏のゲロは冬の肴;Movie;1;Finished Airing;Apr 12, 2016;['Tamabi'];None found, add some;None found, add some;Original;Avant Garde;Music;2 min.;R+ - Mild Nudity;3.90;#13688;#12626;920;1;;;;[];Painful events become memories over time. Still. we vomit and eat again. Life is Eco.  (Source: Vimeo);
63;Recorder;https://myanimelist.net/anime/29771/Recorder;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;RECORDER;Movie;1;Finished Airing;2006;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;Music;1 min.;G - All Ages;5.01;#12982;#12634;917;0;;;;[];Short animation by Ryu Kato.;
64;Futon;https://myanimelist.net/anime/28639/Futon;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;布団;Movie;1;Finished Airing;2012;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;Music;6 min.;G - All Ages;5.11;#12797;#12660;907;2;;;;[];A futon, a traditional Japanese mattress, as seen by Yoriko Mizushiri, becomes the vehicle of dream fantasies combining the most pleasant sensations such as the morning coffee, the warmth of bedding and a soft rice carpet under one’s feet. Lazy stretching serves as a start of sensuous, sleepy gymnastics. With a fluid movement, the passive body will turn once again from the left to the right of the mattress to dive into the fantasies of even deeper unconsciousness a little while later.  (Source: Krakow Film Festival);
65;Memory of Red;https://myanimelist.net/anime/30859/Memory_of_Red;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;Movie;1;Finished Airing;2004;['Imagica West'];None found, add some;None found, add some;Original;Avant Garde;;3 min.;G - All Ages;4.35;#13605;#12671;903;0;;;;[];A short animation by Nobuhiro Aihara.;
66;Horny;https://myanimelist.net/anime/36750/Horny;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;HORNY;Special;1;Finished Airing;2017;['MTV Japan'];None found, add some;None found, add some;Original;;;15 sec.;R+ - Mild Nudity;3.77;#13703;#12709;890;0;['Avant Garde', 'Ecchi'];;;[];No synopsis information has been added to this title. Help improve our database by adding a synopsis here.;MTV Ident: Horny
67;Sougiya to Inu;https://myanimelist.net/anime/28953/Sougiya_to_Inu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;葬儀屋と犬;Movie;1;Finished Airing;2010;['None found', 'add some'];None found, add some;None found, add some;Unknown;;;4 min.;G - All Ages;4.99;#13030;#12740;884;0;['Avant Garde', 'Horror'];;;[];A horror take on the classic tale of Snow White.;
68;Walking Man;https://myanimelist.net/anime/30668/Walking_Man;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;Movie;1;Finished Airing;2002;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;6 min.;G - All Ages;3.99;#13685;#12741;883;0;;;;[];Film by Tanaami Keiichi.;Scrap Diary 2: Walking Man
69;Fantastic Cell;https://myanimelist.net/anime/29768/Fantastic_Cell;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;FANTASTIC CELL;Movie;1;Finished Airing;2003;['Mirai Film'];None found, add some;None found, add some;Original;Avant Garde;;6 min.;G - All Ages;4.66;#13446;#12800;869;0;;;;[];Mirai Mizue's debut animation short film.;
70;An Expression;https://myanimelist.net/anime/35402/An_Expression;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;AN EXPRESSION(表現);Movie;1;Finished Airing;1935;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;3 min.;G - All Ages;4.29;#13629;#12829;860;0;;;;[];Symbolized an urban man with a triangle figure, a country woman with a circle, and represented the encounter between the two by movement.  Director Shigenji Ogino tried to naturally color the movie via the kinema color technique. Due to being an early work, the technique isn't smooth. Because of this the film has a photosensitive epileptic seizure warning as there are high frequency flashes of red and green frames for the duration of the entire film.  Please be careful while viewing.;Hyougen
71;Spacy;https://myanimelist.net/anime/31257/Spacy;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;SPACY;Movie;1;Finished Airing;1981;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;9 min.;G - All Ages;5.51;#11627;#12828;860;5;;;;[];Film by Takashi Ito.;
72;Nisou no Kuzu;https://myanimelist.net/anime/23053/Nisou_no_Kuzu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;二層の葛;Movie;1;Finished Airing;2004;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;7 min.;G - All Ages;4.83;#13249;#12840;857;1;;;;[];The dialogue in question takes place between a woman, who appears to be submerged in water, and a man who sits by a tree on sandy soil. The messages the couple sends back and forth to one another take the form of metaphor: a seed, a fish, a thorn, and so on.  (Source: Midnight Eye);Thinking and Drawing: Nihon no Shinseiki Art Animation, Thinking and Drawing: Japanese Art Animation of the New Millennium
73;A Smart Experiment;https://myanimelist.net/anime/30214/A_Smart_Experiment;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;A smart experiment;Special;1;Finished Airing;2006;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;3 min.;G - All Ages;4.12;#13667;#12844;856;1;;;;[];"Bonus short included on the ""Atsushi Wada Works 2002-2010"" DVD.";A Small Experiment
74;Iro wo Kuu Akuma;https://myanimelist.net/anime/40338/Iro_wo_Kuu_Akuma;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;色を喰うアクマ;ONA;1;Finished Airing;Aug 24, 2015;['Kaibutsu'];None found, add some;TYMOTE, Spoon;Original;Avant Garde;Music;1 min.;G - All Ages;5.48;#11744;#12882;848;2;;;;[];Anthology produced by Adobe Creative Cloud's Japan division to promote their software suite. It showcases the talents of various Japanese experimental animators.;
75;Een;https://myanimelist.net/anime/38727/Een;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;えーん;ONA;1;Finished Airing;Feb 12, 2018;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;1 min.;R+ - Mild Nudity;4.60;#13487;#12893;842;0;;;;[];Crying is an act often associated with infancy, but that does not mean adults do not share the urge to mewl. Whether it be for love, sadness, excitement, fear, relief, or disgust, everyone has an inner-infant that wants to let out their emotions once in a while.  [Written by MAL Rewrite];
76;Kairaku no Sono;https://myanimelist.net/anime/29952/Kairaku_no_Sono;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;快楽の園;Movie;1;Finished Airing;2008;['None found', 'add some'];None found, add some;None found, add some;Unknown;Avant Garde;Music;2 min.;R+ - Mild Nudity;4.26;#13636;#12902;840;0;;;;[];"The riveting harmonies of music may conjure images in one's mind to accompany the noises they hear. In the case of Erik Satie's composition ""Trois morceaux en forme de poire,"" perhaps some indiscriminate geometry would be suitable.  Experimental animator Masaki Okuda attempts to study the relationship between sight and sound in an abstract grayscale artwork.  [Written by MAL Rewrite]";
77;A Log Day of Timbre;https://myanimelist.net/anime/38712/A_Log_Day_of_Timbre;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;A Log Day of Timbre;ONA;1;Finished Airing;Feb 25, 2011;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;2 min.;G - All Ages;4.50;#13542;#12932;834;0;;;;[];A special follow up version of Mizue Mirai's Timbre A-Z.;
78;Master Blaster;https://myanimelist.net/anime/31501/Master_Blaster;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;Music;1;Finished Airing;Sep 30, 2014;['None found', 'add some'];None found, add some;None found, add some;Unknown;Avant Garde;Music;3 min.;R+ - Mild Nudity;4.32;#13617;#12941;832;0;;;;[];Short film by Kabuki Sawako with music by Sugahara Shinsuke.;
79;Thunder;https://myanimelist.net/anime/31259/Thunder;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;THUNDER;Movie;1;Finished Airing;1982;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;5 min.;G - All Ages;5.29;#12356;#12952;827;5;;;;[];Film by Takashi Ito.;
80;Shunga;https://myanimelist.net/anime/22181/Shunga;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;SHUNGA;Movie;1;Finished Airing;2009;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;4 min.;R+ - Mild Nudity;4.22;#13645;#12954;826;0;;;;[];No synopsis information has been added to this title. Help improve our database by adding a synopsis here.;
81;Comics;https://myanimelist.net/anime/30332/Comics;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;コミックス;Movie;1;Finished Airing;1979;['Takun Manga Box'];None found, add some;None found, add some;Original;Avant Garde;;3 min.;G - All Ages;4.23;#13642;#12969;823;0;;;;[];Furukawa Taku film.;Cosmic Wave, Comix
82;Timbre A to Z;https://myanimelist.net/anime/28591/Timbre_A_to_Z;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Timbre A to Z;ONA;26;Finished Airing;Jan 22, 2011 to Feb 16, 2011;['Mirai Film'];None found, add some;None found, add some;Original;Avant Garde;Music;30 sec. per ep.;G - All Ages;4.55;#13517;#13049;803;0;;;;[];A series of short films where Mirai Mizuki uploaded one abstract representation of a letter of the alphabet every day for 26 days.;Timbre A-Z
83;Ghost;https://myanimelist.net/anime/31262/Ghost;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;GHOST;Movie;1;Finished Airing;1984;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;5 min.;G - All Ages;5.36;#12151;#13058;800;6;;;;[];Film by Takashi Ito.;
84;Nouryou Anime: Denkyuu Ika Matsuri;https://myanimelist.net/anime/30659/Nouryou_Anime__Denkyuu_Ika_Matsuri;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;納涼アニメ 電球烏賊祭;Movie;1;Finished Airing;1993;['None found', 'add some'];None found, add some;None found, add some;Original;;Psychological;5 min.;PG-13 - Teens 13 or older;4.57;#13507;#13103;790;0;['Avant Garde', 'Horror'];;;[];Death is the gateway to birth. The deceased crosses the line to join the kingdom of the dead. He sees there the dance of the sperm and the egg. He is drawn towards the sky. This is the path to the afterlife.  (Source: starandshadow.org.uk);Ikamaturi, Metempsychosis
85;Calligraffiti;https://myanimelist.net/anime/23517/Calligraffiti;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;カリグラフィティー;Movie;1;Finished Airing;Dec 5, 1982;['Takun Manga Box'];None found, add some;None found, add some;Music;Avant Garde;Music;4 min.;G - All Ages;4.22;#13648;#13108;790;0;;;;[];Short animation directed by an illustrator and picture book writer Furukawa Taku.;Carigraffiti
86;Grim;https://myanimelist.net/anime/31263/Grim;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;GRIM;Movie;1;Finished Airing;1985;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;7 min.;G - All Ages;5.58;#11355;#13109;789;3;;;;[];Film by Takashi Ito.;
87;Modern;https://myanimelist.net/anime/28587/Modern;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;MODERN;Movie;1;Finished Airing;2010;['Mirai Film'];None found, add some;None found, add some;Unknown;Avant Garde;;6 min.;G - All Ages;4.93;#13106;#13112;788;0;;;;[];"I finished this film in only two months after the completion of Playground. Inspired by optical illusions, like Escher's paintings, I made the film using isometric drawings. my idea was to make a great film using only transformations of rectangular parallelepipeds. I applied the method of geometric animation, a technique used in Metropolis, in this film. Along with ""cell"" animation, I continue making films with the application of this method. Hopefully, I will eventually discover a third alternative method to use in my films.  (Source: Mirai Mizue)";
88;Sayokyoku;https://myanimelist.net/anime/31761/Sayokyoku;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;小夜曲;Movie;1;Finished Airing;1985;['Yamamura Animation', 'Inc.'];None found, add some;None found, add some;Original;;;4 min.;G - All Ages;4.51;#13535;#13134;783;1;['Avant Garde', 'Comedy'];;;[];Short film by Yamamura Kouji.;Shouyakyoku
89;Hustle!! Tokitama-kun;https://myanimelist.net/anime/9801/Hustle_Tokitama-kun;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ハッスル!! とき玉くん;Special;1;Finished Airing;1998;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;4 min.;PG-13 - Teens 13 or older;4.19;#13657;#13138;781;0;;;;[];"Director's description: ""I want to show you a world that you have never seen."" I think this is something that all computer graphics producers strive for. What to create?! How do you create it with computer graphics? The skill of drawing does not change that much when performed on a computer instead of paper. This work is a mixture of traditional cel-based animation, 3-D animation and 2-D computer graphics techniques, each with its own history and production standards. My theme for this production was ""The Transformation of Time and Space."" I used ToonShader and hand drawn animation to achieve the desired effect. I think that I have succeeded in creating a world that you have never seen.  (Source: plaza.bunka.go.jp)";
90;Fue;https://myanimelist.net/anime/29907/Fue;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;笛;Movie;1;Finished Airing;2002;['None found', 'add some'];None found, add some;None found, add some;Other;Avant Garde;;5 min.;PG - Children;4.25;#13637;#13139;781;0;;;;[];Based on a poem by Sakutaro Hagiwara. A child and an adult have different troubles.  (Source: Official website);
91;Yume;https://myanimelist.net/anime/29932/Yume;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Yume;Movie;1;Finished Airing;2006;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;2 min.;G - All Ages;4.85;#13218;#13185;773;0;;;;[];A visualization of how dreams mush up unrelated events together to make up a single story.;Yumé
92;Tama Gura Abayo: Moki Yumokyu Superdeluxe;https://myanimelist.net/anime/31688/Tama_Gura_Abayo__Moki_Yumokyu_Superdeluxe;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;多摩グラあばよ ～もきゅもきゅスーパーデラックス～;Music;1;Finished Airing;Apr 23, 2013;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;Music;2 min.;R+ - Mild Nudity;4.16;#13663;#13196;770;0;;;;[];"Music video by Sawako Kabuki for cover of ""Here, There and Everywhere"" by The Beatles.";Ici, là et partout
93;Hana no Hi;https://myanimelist.net/anime/20153/Hana_no_Hi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;鼻の日;Movie;1;Finished Airing;2005;['Calf Studio'];None found, add some;None found, add some;Original;;;9 min.;G - All Ages;4.71;#13389;#13202;769;0;['Avant Garde', 'Comedy'];;;[];A haptic animation with comfortable noses.  (Source: Official site);
94;L'Œil du cyclone;https://myanimelist.net/anime/34039/L%C5%92il_du_cyclone;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;L'Œil du cyclone;Music;1;Finished Airing;Nov 2, 2015;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;Music;4 min.;G - All Ages;5.80;#10390;#13216;767;1;;;;[];Masanobu Hiraoka's 2015 non-narrative animated short.;
95;Hakubutsushi;https://myanimelist.net/anime/31759/Hakubutsushi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;博物誌;Movie;1;Finished Airing;1985;['Yamamura Animation', 'Inc.'];None found, add some;None found, add some;Unknown;Avant Garde;;2 min.;G - All Ages;4.83;#13247;#13242;761;0;;;;[];Short film by Yamamura Kouji.;
96;Animation!;https://myanimelist.net/anime/7939/Animation;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Animation!;OVA;13;Finished Airing;2006 to 2009;['None found', 'add some'];None found, add some;None found, add some;Unknown;;Music;6 min. per ep.;G - All Ages;5.67;#10976;#13243;760;1;['Adventure', 'Avant Garde', 'Comedy', 'Fantasy', 'Mystery'];;;[];A collection of short animations, from the revelations Tomoyoshi Joko and Hiroco Ichinose.  By Tomoyoshi Joko AFRO - 2006 (1:30) Kumo no Hito Ame no Hito (Mr. Cloud and Mr. Rain) - 2007 (6:35) Buildings - 2008 (5:44) Lizard Planet - 2009 (5:00) Kanagawa Dog - 2009 (00:20)  By Hiroco Ichinose annihilation - 2005 (00:12) The last breakfast - 2006 (2:28) Ushi Nichi (Cow's Day) - 2007 (9:29) ha-P - 2008 (4:14) COSMIC! (pilot film) - 2009 (3:20) YOKOHA-MAMAN -2009 (00:20) morning (pilot film) - 2009 (1:30)  Joint Buil-Bun - 2006 (1:30);Animation! Tomoyoshi Joko & Hiroco Ichinose Film Works 2009, Mr. Cloud and Mr. Rain, Buildings, Lizard Planet, Kanagawa Dog, annihilation, The last breakfast, Ushi Nichi, ha-P, COSMIC! (pilot film),
97;?/Sankaku no Rhythm/Trump no Arasoi;https://myanimelist.net/anime/35405/_Sankaku_no_Rhythm_Trump_no_Arasoi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;? 三角のリズム トランプの爭;Movie;1;Finished Airing;1932;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;;4 min.;G - All Ages;4.31;#13619;#13296;748;0;;;;[];Four short vignettes in this early animated film. In the first, shadows pull away to reveal a puddle, and automobile and bicycle tires pass through it. In the second, cutout shadows of a variety of shoes of people walking are seen. The third is a flurry of geometric forms. In the fourth, the playing card spade courts the heart and pushes away the club, but eventually the club returns, beats up the spade, and wins the heart.  (Source: AniDB);Question Mark
98;A Play;https://myanimelist.net/anime/29902/A_Play;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;A PLAY;Music;1;Finished Airing;2009;['None found', 'add some'];None found, add some;TYMOTE;Original;Avant Garde;Music;6 min.;G - All Ages;4.59;#13490;#13352;733;0;;;;[];Music Video for the group ALT, made by Satoshi Murai.;
99;Aru Nihon no Ekaki Shounen;https://myanimelist.net/anime/48992/Aru_Nihon_no_Ekaki_Shounen;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ある日本の絵描き少年;Movie;1;Finished Airing;Mar 2, 2019;['None found', 'add some'];None found, add some;Nekonigashi Inc.;Original;;;21 min.;R+ - Mild Nudity;6.87;#4626;#13372;730;5;['Avant Garde', 'Award Winning', 'Comedy'];;;[];"An animated short film that depicts, through experimental methods, the first half of the life of a man who aspires to be a manga artist. The central character, Shinji, is a boy who loves to draw. In elementary school, he encounters Masaru, a strange young boy who also loves drawing, but who draws only masked wrestlers. The two become friends.  As they progress through their elementary school grades, however, they gradually grow apart. Years later, Shinji still remains true to his dream of becoming a manga artist, and goes on to study art at the university. When his work is selected for a Best Young Artist Award, he decides to move to Tokyo and soon gets his first breakthrough. What awaits him there, though, is something completely different from the manga artist’s life that he had imagined. One day, for the first time in years, the 30-year-old Shinji comes across some work of his old friend Masaru, who has remained true to his drawing style.  The story is a mockumentary (""mock documentary""), and the narration is interspersed with monologues by Shinji's mother. As the central character grows, the animation style evolves from juvenile drawings doodled on random pieces of paper to sketches drawn on specialized manga paper, thus visualizing the flow of time.  (Source: Japan Media Arts Festival)";Aru Nihon no Egaki Shounen
0;Akuma no Kairozu;https://myanimelist.net/anime/31267/Akuma_no_Kairozu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;悪魔の回路図;Movie;1;Finished Airing;1988;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;7 min.;G - All Ages;4.73;#13362;#13394;723;0;;;;[];A series of still images of a highrise building made into an animation resulting in what one might call an experimental art film.;;
1;Anime Mitai na;https://myanimelist.net/anime/35707/Anime_Mitai_na;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;アニメみたいな;Music;1;Finished Airing;Dec 9, 2014;['None found', 'add some'];None found, add some;NAZ;Original;Avant Garde;4 min.;PG - Children;4.67;#13423;#13404;722;2;;;;[];"Music Video by the dresscodes of the album's 6th track ""Anime Mitai na"" to promote the new Album ""1"".";the dresscodes - Anime Mitai na;Music
2;Tensai Banpaku Opening;https://myanimelist.net/anime/29173/Tensai_Banpaku_Opening;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;TENSAI BANPAKU -GENIUS EXPO-;ONA;2;Finished Airing;Dec 24, 2014 to Dec 29, 2014;['Mirai Film'];None found, add some;None found, add some;Unknown;Avant Garde;4 min. per ep.;G - All Ages;5.16;#12700;#13403;722;0;;;;[];Two versions of opening animation for Tensai Banpaku Genius Expo directed by Mirai Mizue.;;
3;Abstract feat. Alkama;https://myanimelist.net/anime/36182/Abstract_feat_Alkama;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;个乃ち七允ムく七 (Abstract) ;Movie;1;Finished Airing;Aug 19, 2017;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;2 min.;G - All Ages;5.05;#12919;#13409;719;0;;;;[];"Abstract stop-motion short film using ""lightning doodles"" by Tochka.";;
4;Chirico;https://myanimelist.net/anime/22165/Chirico;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;キリコ;Movie;1;Finished Airing;Apr 2008;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;4 min.;PG-13 - Teens 13 or older;4.45;#13568;#13456;707;0;;;;[];No synopsis information has been added to this title. Help improve our database by adding a synopsis here.;;
5;Aa / ii;https://myanimelist.net/anime/38701/Aa___ii;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ああ／良い;Movie;1;Finished Airing;2014;['Geidai Animation'];None found, add some;None found, add some;Original;Avant Garde;2 min.;G - All Ages;4.44;#13578;#13462;706;1;;;;[];When the mind says aah, the body says hee. I dance around the confusion and the consensus, and my whole life is getting composed of these dances.;;
6;Playground;https://myanimelist.net/anime/29766/Playground;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;PLAYGROUND;Movie;1;Finished Airing;2010;['Mirai Film'];None found, add some;None found, add some;Original;Avant Garde;3 min.;G - All Ages;4.89;#13169;#13507;697;1;;;;[];Another experimental film by Mirai Mizue.;;
7;"""Tokyo""";https://myanimelist.net/anime/38748/Tokyo;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;「とうきょう」- Tokyo;Movie;1;Finished Airing;Oct 5, 2017;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;1 min.;G - All Ages;4.21;#13650;#13516;695;0;;;;[];A short film spelling Tokyo in hiragana.;;
8;Blend;https://myanimelist.net/anime/29764/Blend;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;BLEND;Movie;1;Finished Airing;2009;['Mirai Film'];None found, add some;None found, add some;Original;Avant Garde;1 min.;G - All Ages;4.84;#13238;#13536;690;1;;;;[];This short experiments with the flow of oil ink over the surface of the water. Mizue manipulated the ink by blowing with straws or stirring with toothpicks and used stop motion animation techniques to shoot the resulting effects.;;Music
9;Embah;https://myanimelist.net/anime/29954/Embah;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;embah;ONA;1;Finished Airing;2010;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;8 min.;G - All Ages;3.92;#13686;#13537;690;0;;;;[];Girl who watches something in glass. Young person who looks into in from the outside to house. Bear that held fishbowl.  (Source: Taro Shinkai);;
10;Stone;https://myanimelist.net/anime/29657/Stone;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Stone;Movie;1;Finished Airing;1975;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;7 min.;G - All Ages;4.89;#13171;#13545;689;0;;;;[];Independent, stop motion animation by Aihara Nobuhiro, combining drawings and real landscapes.;;
