;title;link;image_link;duration;status;aired;episodes;type;source;genres;themes;demographic;producers;studios;licensors;voice_actors;staffs;score;ranked;rating;favorites;popularity;members;platforms;synopsis;synonyms;japanese
58;Harukanaru Toki no Naka de: Ajisai Yumegatari;https://myanimelist.net/anime/647/Harukanaru_Toki_no_Naka_de__Ajisai_Yumegatari;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;30 min. per ep.;Finished Airing;Mar 27, 2002 to Jan 23, 2003;2;OVA;Visual novel;['Adventure', 'Drama', 'Fantasy', 'Romance', 'Supernatural'];['Historical', 'Isekai', 'Mythology', 'Time Travel'];Shoujo;['None found', 'add some'];Zexcs;None found, add some;['Ishida, Akira', 'Miki, Shinichiro', 'Seki, Tomokazu', 'Hoshi, Souichirou', 'Okiayu, Ryoutarou', 'Inoue, Kazuhiko', 'Kawakami, Tomoko', 'Nakahara, Shigeru', 'Takahashi, Naozumi', 'Miyata, Kouki'];[{'name': 'Suzuki, Iku', 'role': 'Director'}, {'name': 'Hirano, Yoshihisa', 'role': 'Music'}, {'name': 'Oonuki, Kenichi', 'role': 'Character Design'}];6.16;#8666;PG-13 - Teens 13 or older;3;#8843;3,588;[];Whisked away to the land of Kyou, Akane learns that she is the Ryuujin no Miko, and meets the Hachiyou, her protectors. They must defeat Akuram, a demon who wants to destroy Kyou using the power of Azusa, a woman who has the power to absorb human energy. If Akane and the Hachiyou cannot defeat Akuram and bring peace to Kyou, Azusa'a power will destroy the humans.  (Source: ANN);In a Distant Time OVA, Haruka Naru Toki no Naka de: Ajisai Yumegatari;遙かなる時空の中で 〜紫陽花ゆめ語り〜
59;Hi no Tori: Houou-hen;https://myanimelist.net/anime/2997/Hi_no_Tori__Houou-hen;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;1 hr.;Finished Airing;Dec 20, 1986;1;Movie;Manga;['Drama', 'Fantasy'];NOT_EXIST;NOT_EXIST;['Tezuka Productions', 'Toho', 'Tohokushinsha Film Corporation'];Madhouse;None found, add some;[];[{'name': 'Rintarou', 'role': 'Director'}, {'name': 'Takayashiki, Hideo', 'role': 'Script'}, {'name': 'Tezuka, Osamu', 'role': 'Original Creator'}, {'name': 'Koike, Takeshi', 'role': 'In-Between Animation'}];6.93;#4386;R+ - Mild Nudity;5;#8844;3,587;['Crunchyroll'];Akanemaru, a skilled sculptor, sets out to find the muse for his masterpiece, the legendary immortal bird Phoenix. However, on his journey, he encounters unexpected trouble when he runs into Gaou, a one-eyed, one-armed bandit. Despite Akanemaru's friendly demeanor, Gaou, who harbors animosity toward the world as a ruthless man, attacks and robs him.  As they go their separate ways, the unfortunate incident fades into oblivion. Years later, Akanemaru is forced to accept a new assignment and abandon his dream, while Gaou is stricken with sudden misfortune—a twist of fate that will change both their lives forever. But little do they know that these new circumstances will eventually lead them to cross paths once more: this time as rivals.  Set in Japan's Nara period, Hi no Tori: Houou-hen explores the fragile balance between action and consequence as it follows the lives of two men who must inevitably confront the responsibilities of their choices.  [Written by MAL Rewrite];Firebird: Karma Chapter;火の鳥　鳳凰編
60;Yamato yo Towa ni;https://myanimelist.net/anime/3069/Yamato_yo_Towa_ni;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;2 hr. 28 min.;Finished Airing;Aug 2, 1980;1;Movie;Original;['Action', 'Adventure', 'Drama', 'Sci-Fi'];['Adult Cast', 'Military', 'Space'];NOT_EXIST;['None found', 'add some'];Toei Animation;None found, add some;['Tomiyama, Kei', 'Aono, Takeshi', 'Nakamura, Shuusei', 'Han, Keiko', 'Ogata, Kenichi', 'Hirokawa, Taichirou', 'Nagai, Ichiro', 'Ueda, Miyuki', 'Kobayashi, Osamu'];[{'name': 'Nishizaki, Yoshinobu', 'role': 'Producer, Original Creator, Executive Producer'}, {'name': 'Yoshida, Tooru', 'role': 'Producer'}, {'name': 'Matsumoto, Leiji', 'role': 'Director, Original Creator'}, {'name': 'Katsumata, Tomoharu', 'role': 'Director'}];6.60;#6073;PG-13 - Teens 13 or older;8;#8842;3,586;[];The Black Nebula Empire attacks Earth and threatens to blow up the planet with a bomb they placed on Earth if counter attacked. Earths hopes rest on the Yamato crew as they go to the Black Nebula Planet and try to find a way to difuse the bomb before it's too late.  (Source: ANN);Yamato to Eternity, Yamato yo Eien ni;ヤマトよ永遠に
61;Android Ana Maico 2010;https://myanimelist.net/anime/810/Android_Ana_Maico_2010;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;14 min. per ep.;Finished Airing;Apr 6, 1998 to Sep 28, 1998;24;TV;Manga;['Comedy', 'Drama', 'Sci-Fi'];['Adult Cast', 'Showbiz', 'Workplace'];Seinen;['Pony Canyon', 'animate Film', 'Movic'];Group TAC, Animaruya;None found, add some;['Tange, Sakura', 'Okiayu, Ryoutarou', 'Ogata, Megumi', 'Narita, Ken', 'Kosugi, Mitsuru', 'Furusawa, Tohru', 'Takamori, Nao', 'Ishida, Akira'];[{'name': 'Masunari, Koji', 'role': 'Director, Series Composition'}, {'name': 'Kikuta, Hiromi', 'role': 'Sound Director'}, {'name': 'Ishizaki, Susumu', 'role': 'Episode Director, Storyboard'}, {'name': 'Oota, Hiromitsu', 'role': 'Episode Director, Storyboard'}];6.53;#6509;PG-13 - Teens 13 or older;7;#8874;3,556;[];In the year 2010, the Japanese radio industry is in decline. To reverse their flagging ratings, a station staffed with perennial losers makes a daring gamble: to hire the industry's first android on-air host. Maico is cute, but it will take more than novelty to win over the fickle audience -- especially with a crew as inept as this one.;NOT_EXIST;アンドロイド・アナ　MAICO ２０１０
62;Offside (TV);https://myanimelist.net/anime/5200/Offside_TV;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;23 min. per ep.;Finished Airing;May 10, 2001 to Jan 31, 2002;39;TV;Manga;['Action', 'Drama', 'Sports'];NOT_EXIST;NOT_EXIST;['Animax'];Ashi Productions;None found, add some;['Tsuchida, Hiroshi', 'Kisaichi, Atsushi', 'Shibuya, Shigeru', 'Kamiya, Hiroshi', 'Itou, Miki', 'Shimura, Tomoyuki', 'Matsumoto, Yasunori', 'Fujita, Yoshinori', 'Higuchi, Chieko', 'Miki, Shinichiro'];[{'name': 'Okuda, Seiji', 'role': 'Director'}, {'name': 'Watanabe, Jun', 'role': 'Sound Director'}, {'name': 'Matsumoto, Yoshihisa', 'role': 'Episode Director, Storyboard'}, {'name': 'Fujiwara, Ryouji', 'role': 'Episode Director, Storyboard'}];7.15;#3370;G - All Ages;21;#8888;3,528;[];"Goro Kumagaya is an established, tall middle-school goalkeeper who wanted to enter Yokonan high-school that is considered to be among the elites in terms of its football club, only to fail and end up in the lowly-ranked school opposite to Yokonan because of an accident. However, he met Shingo, Hideki and Kazuhito Oda who are all skillful footballers there and together in the Kawasaki High School football club, they challenge Yokonan and any other schools that they have to face in order to improve and become the champions. Any setbacks that they face would instead be an opportunity for a better improvement; one of which was the discovery of Goro's natural talent as an ace striker.  (Source: ANN)";Offside (2001);オフサイド
63;Soukou Kihei Votoms: Kakuyaku taru Itan;https://myanimelist.net/anime/2586/Soukou_Kihei_Votoms__Kakuyaku_taru_Itan;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;30 min. per ep.;Finished Airing;Mar 21, 1994 to Nov 21, 1994;5;OVA;Original;['Drama', 'Sci-Fi'];['Mecha', 'Military'];NOT_EXIST;['None found', 'add some'];Sunrise;None found, add some;['Gouda, Hozumi', 'Ginga, Banjou', 'Yanaga, Kazuko', 'Matsuoka, Youko', 'Bando, Naoki', 'Tsuji, Shinpachi', 'Sasaoka, Shigezou', 'Ebara, Masashi', 'Yamanouchi, Masato'];[{'name': 'Takahashi, Ryousuke', 'role': 'Director'}, {'name': 'Imanishi, Takashi', 'role': 'Director, Storyboard'}, {'name': 'Kobayashi, Katsuyoshi', 'role': 'Sound Director'}, {'name': 'Inui, Hiroki', 'role': 'Theme Song Arrangement, Theme Song Composition'}];6.88;#4617;PG-13 - Teens 13 or older;6;#8891;3,525;['HIDIVE'];"Chirico is awoken from cold sleep and separated from Fyana. His attempts to find her come to the attention of a Nextant, the replacement for the Perfect Soldier program. At the same time, the new Pope is to be nominated, and Chirico is religiously considered to be ""The Untouchable"". With one of the nominees related to the Nextant, Chirico's actions will have far-reaching political ramifications.  (Source: ANN)";Armored Trooper Votoms: The Defrost, Armored Trooper Votoms: The Heretic Saint, The Brilliant Heretic, Armored Trooper Votoms: Shining Heresy, Armored Trooper Votoms - Kakueki taru Itan, Armored Trooper Votoms: Brilliantly Shining Heresy;装甲騎兵ボトムズ 赫奕たる異端
64;Elf-ban Kakyuusei: Anata dake wo Mitsumete...;https://myanimelist.net/anime/661/Elf-ban_Kakyuusei__Anata_dake_wo_Mitsumete;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;27 min. per ep.;Finished Airing;Nov 24, 1997 to Jun 26, 1998;4;OVA;Visual novel;['Drama', 'Romance'];['Harem', 'School'];NOT_EXIST;['Pink Pineapple', 'KSS'];PP Project;None found, add some;['Hoshikawa, Mai', 'Sayama, Riko', 'Chiba, Susumu', 'Sango, Minako', 'Uchikawa, Ai', 'Nagase, Emiya', 'Sonozaki, Mie', 'Yukie, Rena', 'Madono, Mitsuaki', 'Kajimura, Hiroko'];[{'name': 'Oomiya, Saburou', 'role': 'Producer'}, {'name': 'Kashima, Norio', 'role': 'Director, Storyboard, Screenplay'}, {'name': 'ELF Corporation', 'role': 'Original Creator'}, {'name': 'Yoshida, Hajime', 'role': 'Key Animation'}];6.10;#9008;R+ - Mild Nudity;5;#8893;3,525;[];High school students Mizuho Yuuki and Miko Kamiyama are best friends. Miko likes fellow classmate Tohru Nagase. Mizuho is determined not to get in the way of their budding relationship. But underclassmate Ai Minamizato also likes Tohru. Tohru must decide which girl he likes the most.  (Source: ANN);Kakyuusei: Elf Version;エルフ版 下級生 あなただけを見つめて…
65;Nido to Mezamenu Komori Uta;https://myanimelist.net/anime/7273/Nido_to_Mezamenu_Komori_Uta;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;27 min.;Finished Airing;1985;1;Movie;Original;['Avant Garde', 'Drama'];NOT_EXIST;NOT_EXIST;['None found', 'add some'];None found, add some;None found, add some;[];[{'name': 'Harada, Hiroshi', 'role': 'Director, Script, Key Animation, Director of Photography, Music, Creator'}];5.56;#11507;R+ - Mild Nudity;26;#8903;3,513;[];An animated film describing the bullying of a Japanese child.;Nidoto Mezamenu Komori Uta, Lullaby to the Big Sleep, Lullaby Not Awake Two Times;二度と目覚めぬ子守唄
66;Versailles no Bara: Seimei Aru Kagiri Aishite;https://myanimelist.net/anime/3868/Versailles_no_Bara__Seimei_Aru_Kagiri_Aishite;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;1 hr. 30 min.;Finished Airing;May 19, 1990;1;Movie;Unknown;['Drama', 'Romance'];NOT_EXIST;Shoujo;['Tokyo Movie Shinsha'];None found, add some;None found, add some;[];[{'name': 'Kodama, Kenji', 'role': 'Director'}, {'name': 'Takeuchi, Yoshio', 'role': 'Director'}, {'name': 'Dezaki, Osamu', 'role': 'Assistant Director'}, {'name': 'Ikeda, Riyoko', 'role': 'Original Creator'}];6.83;#4892;PG-13 - Teens 13 or older;6;#8918;3,489;[];A theatrical re-edit/summary of the TV series. Some of the voice actors were changed (eg. Oscar is played by Keiko Toda instead of re-using the original audio by Reiko Tajima).;The Rose of Versailles: I'll Love You As Long As I Live, Versailles no Bara: Seimei Aru Kagiri Aishite, Rose of Versailles Movie;ベルサイユのばら 生命あるかぎり愛して
67;La Rose de Versailles;https://myanimelist.net/anime/5415/La_Rose_de_Versailles;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;4 min.;Finished Airing;2007;1;Special;Unknown;['Drama', 'Romance', 'Slice of Life'];['Historical', 'Military'];NOT_EXIST;['None found', 'add some'];Toei Animation;None found, add some;['Kobayashi, Sanae', 'Morikawa, Toshiyuki', 'Kawasumi, Ayako', 'Inoue, Kazuhiko'];[{'name': 'Ikeda, Riyoko', 'role': 'Original Creator'}];5.60;#11353;G - All Ages;5;#8931;3,477;[];Toei Animation announced the new movie based on the classic anime and manga. This project is most likely canceled and a trailer is all that remains, which is what this entry encompasses.;Versailles no Bara;ベルサイユのばら
68;Aquarian Age: Saga II - Don't Forget Me...;https://myanimelist.net/anime/1268/Aquarian_Age__Saga_II_-_Dont_Forget_Me;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;1 hr.;Finished Airing;Nov 21, 2003;1;OVA;Card game;['Action', 'Drama'];NOT_EXIST;NOT_EXIST;['Broccoli'];Madhouse;Synch-Point;['Park, Romi', 'Enomoto, Atsuko', 'Noto, Mamiko', 'Sawashiro, Miyuki', 'Orikasa, Fumiko'];[{'name': 'Muroi, Fumie', 'role': 'Director, Character Design, Chief Animation Director'}, {'name': 'Masuhara, Mitsuyuki', 'role': 'Episode Director, Storyboard'}, {'name': 'Takahashi, Youko', 'role': 'Theme Song Performance'}, {'name': 'Maruyama, Masao', 'role': 'Executive Producer'}];5.74;#10755;PG-13 - Teens 13 or older;1;#8934;3,476;[];During the chaotic period known in Western astrology as the Aquarian Age, the alien ERASER fleet attacks Earth, ravaging cities. However, a counteroffensive is launched. The four factions—ARAYASHIKI, WIZDOM, DARKLORE, and E.G.O.—who have been fighting each other for control of Earth, join forces to defeat the ERASERS.  In the aftermath, Earth is placed under the unified rule of the POLESTAR EMPIRE. However, peace is shattered when the EMPIRE begins to use forbidden magic. These dark powers cause dimensional rifts around the world and once again plunge Earth into chaos and warfare.  (Source: AniDB);Aquarian Age: Saga 2;アクエリアンエイジ Saga II ~Don't forget me...~
