;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;theme;demographic;duration;rating;score;ranked;popularity;members;favorites;themes;platforms;synopsis
50;Fumetsu no Anata e;https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230222013808_20230227_malxhis.png;To You, the Immortal;不滅のあなたへ;TV;20;Finished Airing;Apr 12, 2021 to Aug 30, 2021;Spring 2021;Mondays at 22:50 (JST);['NHK', 'Kodansha', 'NHK Enterprises'];None found, add some;Brain's Base;Manga;['Adventure', 'Drama', 'Supernatural'];;Shounen;25 min. per ep.;R - 17+ (violence & profanity);8.37;#190;#206;784,216;13,236;;['Crunchyroll', 'Netflix', '', '', '', '', ''];An Orb, known only as It, is cast to Earth to be observed from afar. Capable of changing forms from beings whose reflections It captures, It first becomes a rock and then, due to the rising temperature, moss.  It does not move until one snowy day, a wolf at death's door barely crosses by. When It takes the animal's form, It attains awareness of its consciousness and starts to wander with an unclear destination in mind. Soon, It comes across the wolf's master—a young boy waiting for his tribe to return from a paradise abundant with fish and fruit in the south. Although the boy is lonely, he still hopes those whom he holds dear in his memories have not forgotten him and that he will reunite with them one day.  The boy wants to explore new surroundings and decides to abandon his home with It to find the paradise using the traces his tribe left behind. However, with a heavily injured body and no sight of his elder comrades, what will become of the boy?  Fumetsu no Anata e illustrates the story of an immortal being experiencing humanity, meeting all types of people in many places throughout time.  [Written by MAL Rewrite]
51;Akira;https://myanimelist.net/anime/47/Akira;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230128062819_20230106_animeartacademy.png;;AKIRA（アキラ）;Movie;1;Finished Airing;Jul 16, 1988;;;['Mainichi Broadcasting System', 'Kodansha', 'Toho', 'Streamline Pictures'];Funimation, Bandai Entertainment, Geneon Entertainment USA;Tokyo Movie Shinsha;Manga;['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Supernatural'];;Seinen;2 hr. 4 min.;R+ - Mild Nudity;8.16;#383;#207;783,488;12,595;['Gore', 'Military'];['Funimation', 'Netflix'];"Japan, 1988. An explosion caused by a young boy with psychic powers tears through the city of Tokyo and ignites the fuse that leads to World War III. In order to prevent any further destruction, he is captured and taken into custody, never to be heard from again. Now, in the year 2019, a restored version of the city known as Neo-Tokyo—an area rife with gang violence and terrorism against the current government—stands in its place. Here, Shoutarou Kaneda leads ""the Capsules,"" a group of misfits known for riding large, custom motorcycles and being in constant conflict with their rivals ""the Clowns.""  During one of these battles, Shoutarou's best friend Tetsuo Shima is caught up in an accident with an esper who finds himself in the streets of Tokyo after escaping confinement from a government institution. Through this encounter, Tetsuo begins to develop his own mysterious abilities, as the government seeks to quarantine this latest psychic in a desperate attempt to prevent him from unleashing the destructive power that could once again bring the city to its knees.  [Written by MAL Rewrite]"
52;Mushishi;https://myanimelist.net/anime/457/Mushishi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230222013808_20230227_malxhis.png;;蟲師;TV;26;Finished Airing;Oct 23, 2005 to Jun 19, 2006;Fall 2005;Sundays at 03:40 (JST);['Avex Entertainment', 'Marvelous', 'SKY Perfect Well Think', 'Delfi Sound'];Funimation;Artland;Manga;['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural'];;Seinen;23 min. per ep.;PG-13 - Teens 13 or older;8.66;#63;#208;780,676;25,626;['Adult Cast', 'Historical', 'Iyashikei'];['Crunchyroll', 'Funimation', ''];"""Mushi"": the most basic forms of life in the world. They exist without any goals or purposes aside from simply ""being."" They are beyond the shackles of the words ""good"" and ""evil."" Mushi can exist in countless forms and are capable of mimicking things from the natural world such as plants, diseases, and even phenomena like rainbows.  This is, however, just a vague definition of these entities that inhabit the vibrant world of Mushishi, as to even call them a form of life would be an oversimplification. Detailed information on Mushi is scarce because the majority of humans are unaware of their existence.  So what are Mushi and why do they exist? This is the question that a ""Mushishi,"" Ginko, ponders constantly. Mushishi are those who research Mushi in hopes of understanding their place in the world's hierarchy of life.  Ginko chases rumors of occurrences that could be tied to Mushi, all for the sake of finding an answer.  It could, after all, lead to the meaning of life itself.  [Written by MAL Rewrite]"
53;Ookami to Koushinryou;https://myanimelist.net/anime/2966/Ookami_to_Koushinryou;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230128062819_20230106_animeartacademy.png;Ookami to Koushinryou;狼と香辛料;TV;13;Finished Airing;Jan 9, 2008 to Mar 26, 2008;Winter 2008;Wednesdays at 01:30 (JST);['Victor Entertainment', 'Pony Canyon', 'Movic', 'Kadokawa Pictures Japan'];Funimation, Kadokawa Pictures USA;Imagin;Light novel;['Adventure', 'Fantasy', 'Romance'];Adult Cast;;24 min. per ep.;PG-13 - Teens 13 or older;8.23;#311;#216;774,541;17,417;;['Funimation', 'Netflix'];Holo is a powerful wolf deity who is revered in the small town of Pasloe for blessing the annual harvest. Yet as years go by and the villagers become more self-sufficient, Holo has been reduced to a mere folktale. When a traveling merchant named Kraft Lawrence stops at the settlement, Holo offers to become his business partner if he takes her to her northern home of Yoitsu. The savvy trader recognizes Holo's unusual ability to evaluate a person's character and accepts her proposition.  Now in the possession of both sharp bargaining skills and a charismatic negotiator, Lawrence inches closer to his goal of opening his own shop. However, as Lawrence travels the countryside with Holo in search of economic opportunities, he begins to realize that his aspirations are slowly morphing into something unexpected.  [Written by MAL Rewrite]
54;Dragon Ball Super;https://myanimelist.net/anime/30694/Dragon_Ball_Super;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;Dragon Ball Chou, DB Super, DBS;ドラゴンボール超（スーパー）;TV;131;Finished Airing;Jul 5, 2015 to Mar 25, 2018;Summer 2015;Sundays at 09:00 (JST);['Yomiko Advertising', 'Fuji TV'];Funimation;Toei Animation;Manga;['Action', 'Adventure', 'Comedy', 'Fantasy'];;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;7.43;#1994;#220;770,221;9,729;['Martial Arts', 'Super Power'];['Crunchyroll', 'Funimation'];"Seven years after the events of Dragon Ball Z, Earth is at peace, and its people live free from any dangers lurking in the universe. However, this peace is short-lived; a sleeping evil awakens in the dark reaches of the galaxy: Beerus, the ruthless God of Destruction.  Disturbed by a prophecy that he will be defeated by a ""Super Saiyan God,"" Beerus and his angelic attendant Whis start searching the universe for this mysterious being. Before long, they reach Earth where they encounter Gokuu Son, one of the planet's mightiest warriors, and his similarly powerful friends.  [Written by MAL Rewrite]"
55;Gate: Jieitai Kanochi nite, Kaku Tatakaeri;https://myanimelist.net/anime/28907/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;Gate: Thus the JSDF Fought There!;GATE（ゲート）自衛隊　彼の地にて、斯く戦えり;TV;12;Finished Airing;Jul 4, 2015 to Sep 19, 2015;Summer 2015;Saturdays at 00:30 (JST);['Genco', 'Magic Capsule', 'Warner Bros. Japan', 'KlockWorx', 'Showgate', 'Bandai Namco Games'];Sentai Filmworks;A-1 Pictures;Light novel;['Action', 'Adventure', 'Fantasy'];;;23 min. per ep.;R - 17+ (violence & profanity);7.69;#1170;#227;758,386;5,951;['Isekai', 'Military'];['HIDIVE', 'Netflix'];"Off-duty Japan Self-Defense Forces (JSDF) officer and otaku Youji Itami is on his way to attend a doujin convention in Ginza, Tokyo when a mysterious portal in the shape of a large gate suddenly appears. From this gate, supernatural creatures and warriors clad in medieval armor emerge, charging through the city, killing and destroying everything in their path. With swift actions, Youji saves as many lives as he can while the rest of the JSDF direct their efforts toward stopping the invasion.  Three months after the attack, Youji has been tasked with leading a special recon team, as part of a JSDF task force, that will be sent to the world beyond the gate—now being referred to as the ""Special Region."" They must travel into this unknown world in order to learn more about what they are dealing with and attempt to befriend the locals in hopes of creating peaceful ties with the ruling empire. But if they fail, they face the consequence of participating in a devastating war that will engulf both sides of the gate.  [Written by MAL Rewrite]"
56;Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II;https://myanimelist.net/anime/37347/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_II;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230128062819_20230106_animeartacademy.png;DanMachi 2nd Season, Is It Wrong That I Want to Meet You in a Dungeon 2nd Season;ダンジョンに出会いを求めるのは間違っているだろうかII;TV;12;Finished Airing;Jul 13, 2019 to Sep 28, 2019;Summer 2019;Saturdays at 00:30 (JST);['Genco', 'Movic', 'Warner Bros. Japan', 'KlockWorx', 'SoftBank Creative', 'Hakuhodo DY Music & Pictures', 'Egg Firm', 'FuRyu', 'GREE'];Sentai Filmworks;J.C.Staff;Light novel;['Action', 'Adventure', 'Fantasy'];;;24 min. per ep.;PG-13 - Teens 13 or older;7.23;#2915;#229;754,356;1,994;;['Crunchyroll', 'HIDIVE'];"It is business as usual in the massive city of Orario, where legions of adventurers gather to explore the monster-infested ""Dungeon."" Among them is the easily flustered yet brave Bell Cranel, the sole member of the Hestia Familia. With the help of his demi-human supporter Liliruca Arde and competent blacksmith Welf Crozzo, Bell has earned the title of Little Rookie by becoming Orario's fastest-growing adventurer thanks to his endeavors within the deeper levels of the Dungeon.  Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II continues Bell's adventures as he tries to bring glory to his goddess and protect those he cares about. However, various familias and gods across the city begin to take notice of his achievements and attempt to add him to their ranks.  [Written by MAL Rewrite]"
57;InuYasha;https://myanimelist.net/anime/249/InuYasha;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230128062819_20230106_animeartacademy.png;Inu Yasha;犬夜叉;TV;167;Finished Airing;Oct 16, 2000 to Sep 13, 2004;Fall 2000;Mondays at 19:00 (JST);['Yomiuri Telecasting', 'Shogakukan'];VIZ Media;Sunrise;Manga;['Action', 'Adventure', 'Fantasy', 'Romance'];;Shounen;24 min. per ep.;PG-13 - Teens 13 or older;7.86;#798;#230;752,021;17,579;['Historical', 'Mythology', 'Time Travel'];['Crunchyroll', 'Funimation', ''];Kagome Higurashi's 15th birthday takes a sudden turn when she is forcefully pulled by a demon into the old well of her family's shrine. Brought to the past, when demons were a common sight in feudal Japan, Kagome finds herself persistently hunted by these vile creatures, all yearning for an item she unknowingly carries: the Shikon Jewel, a small sphere holding extraordinary power.  Amid such a predicament, Kagome encounters a half-demon boy named Inuyasha who mistakes her for Kikyou, a shrine maiden he seems to resent. Because of her resemblance to Kikyou, Inuyasha takes a violent dislike to Kagome. However, after realizing the dire circumstances they are both in, he sets aside his hostility and lends her a hand.  Unfortunately, during a fight for the Shikon Jewel, the miraculous object ends up shattered into pieces and scattered across the land. Fearing the disastrous consequences of this accident, Kagome and Inuyasha set out on a challenging quest to recover the shards before they fall into the wrong hands.  [Written by MAL Rewrite]
58;Trigun;https://myanimelist.net/anime/6/Trigun;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230222013808_20230227_malxhis.png;;トライガン;TV;26;Finished Airing;Apr 1, 1998 to Sep 30, 1998;Spring 1998;Thursdays at 01:15 (JST);['Victor Entertainment'];Funimation, Geneon Entertainment USA;Madhouse;Manga;['Action', 'Adventure', 'Sci-Fi'];Adult Cast;Shounen;24 min. per ep.;PG-13 - Teens 13 or older;8.22;#327;#246;708,208;14,480;;['Crunchyroll', 'Funimation', ''];"Vash the Stampede is the man with a $$60,000,000,000 bounty on his head. The reason: he's a merciless villain who lays waste to all those that oppose him and flattens entire cities for fun, garnering him the title ""The Humanoid Typhoon."" He leaves a trail of death and destruction wherever he goes, and anyone can count themselves dead if they so much as make eye contact—or so the rumors say. In actuality, Vash is a huge softie who claims to have never taken a life and avoids violence at all costs.  With his crazy doughnut obsession and buffoonish attitude in tow, Vash traverses the wasteland of the planet Gunsmoke, all the while followed by two insurance agents, Meryl Stryfe and Milly Thompson, who attempt to minimize his impact on the public. But soon, their misadventures evolve into life-or-death situations as a group of legendary assassins are summoned to bring about suffering to the trio. Vash's agonizing past will be unraveled and his morality and principles pushed to the breaking point.  [Written by MAL Rewrite]"
59;Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu;https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230128062819_20230106_animeartacademy.png;KonoSuba Movie, Eiga Kono Subarashii Sekai ni Shukufuku wo!, Kono Subarashii Sekai ni Shukufuku wo! Movie;映画 この素晴らしい世界に祝福を！紅伝説;Movie;1;Finished Airing;Aug 30, 2019;;;['Nippon Columbia', 'Toranoana', 'MAGES.', '81 Produce', 'Sammy', 'Kadokawa Media House', 'Kadokawa', 'Sony Music Solutions'];None found, add some;J.C.Staff;Light novel;['Adventure', 'Comedy', 'Fantasy'];;;1 hr. 30 min.;PG-13 - Teens 13 or older;8.46;#140;#250;700,450;4,575;['Isekai', 'Parody', 'Reincarnation'];['Crunchyroll'];It is not strange that the Demon Lord's forces fear the Crimson Demons, the clan from which Megumin and Yunyun originate. Even if the Demon Lord's generals attack their village, the Crimson Demons can just easily brush them off with their supreme mastery of advanced and overpowered magic.  When Yunyun receives a seemingly serious letter regarding a potential disaster coming to her hometown, she immediately informs Kazuma Satou and the rest of his party. After a series of wacky misunderstandings, it turns out to be a mere prank by her fellow demon who wants to be an author. Even so, Megumin becomes worried about her family and sets out toward the Crimson Demons' village with the gang.  There, Kazuma and the others decide to sightsee the wonders of Megumin's birthplace. However, they soon come to realize that the nonsense threat they received might have been more than just a joke.  [Written by MAL Rewrite]
60;Sword Art Online: Alicization - War of Underworld;https://myanimelist.net/anime/39597/Sword_Art_Online__Alicization_-_War_of_Underworld;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230128062819_20230106_animeartacademy.png;Sword Art Online: Alicization 2nd Season, Sword Art Online III 2nd Season, SAO Alicization 2nd Season, Sword Art Online 3 2nd Season, SAO 3 2nd Season, SAO III 2nd Season;ソードアート・オンライン アリシゼーション War of Underworld;TV;12;Finished Airing;Oct 13, 2019 to Dec 29, 2019;Fall 2019;Sundays at 00:00 (JST);['Aniplex', 'Bandai Namco Entertainment', 'Egg Firm', 'Straight Edge', 'Kadokawa', 'Sonilude'];Aniplex of America;A-1 Pictures;Light novel;['Action', 'Adventure', 'Fantasy'];Video Game;;23 min. per ep.;R - 17+ (violence & profanity);7.58;#1436;#253;696,057;3,504;;['Crunchyroll'];"Despite the defeat of Quinella—the pontifex of the Axiom Church—things have not seemed to calm down yet. Upon contacting the real world, Kazuto ""Kirito"" Kirigaya finds out that the Ocean Turtle—a mega-float controlled by Rath—was raided. Due to a sudden short-circuit caused by the raiders, Kirito's fluctlight is damaged, leaving him comatose. Feeling insecure about the people at the Axiom Church, Alice brings the unconscious Kirito back to their hometown—Rulid Village, disregarding her banishment due to an unabsolved crime. Now, Alice is living an ordinary and peaceful life close by the village, wishing for Kirito to wake up.  However, tragedy strikes when Alice notices that the Dark Territory has already started to invade the Human Empire. Reassuming her previous alias, Alice Synthesis Thirty, she promises to defeat the Dark Territory in order to defend the world that Kirito and Eugeo worked so hard to protect.  [Written by MAL Rewrite]"
61;Hai to Gensou no Grimgar;https://myanimelist.net/anime/31859/Hai_to_Gensou_no_Grimgar;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230128062819_20230106_animeartacademy.png;Grimgal of Ashes and Fantasies, Hai to Gensou no Grimgal;灰と幻想のグリムガル;TV;12;Finished Airing;Jan 11, 2016 to Mar 28, 2016;Winter 2016;Mondays at 00:30 (JST);['TOHO animation'];Funimation;A-1 Pictures;Light novel;['Action', 'Adventure', 'Drama', 'Fantasy'];Isekai;;24 min. per ep.;R - 17+ (violence & profanity);7.65;#1271;#257;691,239;5,887;;['Crunchyroll', 'Netflix'];"Fear, survival, instinct. Thrown into a foreign land with nothing but hazy memories and the knowledge of their name, they can feel only these three emotions resonating deep within their souls. A group of strangers is given no other choice than to accept the only paying job in this game-like world—the role of a soldier in the Reserve Army—and eliminate anything that threatens the peace in their new world, Grimgar.  When all of the stronger candidates join together, those left behind must create a party together to survive: Manato, a charismatic leader and priest; Haruhiro, a nervous thief; Yume, a cheerful hunter; Shihoru, a shy mage; Moguzo, a kind warrior; and Ranta, a rowdy dark knight. Despite its resemblance to one, this is no game—there are no redos or respawns; it is kill or be killed.  It is now up to this ragtag group of unlikely fighters to survive together in a world where life and death are separated only by a fine line.  [Written by MAL Rewrite]"
62;Sword Art Online Movie: Ordinal Scale;https://myanimelist.net/anime/31765/Sword_Art_Online_Movie__Ordinal_Scale;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230222013808_20230227_malxhis.png;Gekijouban Sword Art Online;劇場版 ソードアート・オンライン -オーディナル・スケール-;Movie;1;Finished Airing;Feb 18, 2017;;;['Aniplex', 'Genco', 'ASCII Media Works', 'Bandai Namco Entertainment', 'Egg Firm'];Aniplex of America;A-1 Pictures;Original;['Action', 'Adventure', 'Fantasy'];Video Game;;1 hr. 59 min.;R+ - Mild Nudity;7.57;#1481;#261;686,493;3,396;;['Crunchyroll', 'Netflix'];In 2026, four years after the infamous Sword Art Online incident, a revolutionary new form of technology has emerged: the Augma, a device that utilizes an Augmented Reality system. Unlike the Virtual Reality of the NerveGear and the Amusphere, it is perfectly safe and allows players to use it while they are conscious, creating an instant hit on the market. The most popular application for the Augma is the game Ordinal Scale, which immerses players in a fantasy role-playing game with player rankings and rewards.  Following the new craze, Kirito's friends dive into the game, and despite his reservations about the system, Kirito eventually joins them. While at first it appears to be just fun and games, they soon find out that the game is not all that it seems...  [Written by MAL Rewrite]
63;Nanatsu no Taizai: Seisen no Shirushi;https://myanimelist.net/anime/31722/Nanatsu_no_Taizai__Seisen_no_Shirushi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230128062819_20230106_animeartacademy.png;;七つの大罪 聖戦の予兆;TV;4;Finished Airing;Aug 28, 2016 to Sep 18, 2016;Summer 2016;Sundays at 17:00 (JST);['Aniplex', 'Dentsu', 'Kodansha', 'Movic'];None found, add some;A-1 Pictures;Manga;['Action', 'Adventure', 'Fantasy'];;Shounen;24 min. per ep.;PG-13 - Teens 13 or older;6.99;#4139;#265;678,030;785;;[];The Seven Deadly Sins, along with Elizabeth Liones and Hawk, have won the Kingdom of Leones back from the Holy Knights. At long last, it's their time to indulge in the peaceful lives they fought for. From inedible meat pies, overdue battles, unexpected stalkers, and the butterflies of first love, the Sins are accompanied by their friends in their carefree, fun-filled time together. However, the calm is broken with the premonition of a new threat, bringing upon the signs of Holy War and threatening to shatter the peace of the Sins' easygoing days.  [Written by MAL Rewrite]
64;Nanatsu no Taizai: Kamigami no Gekirin;https://myanimelist.net/anime/39701/Nanatsu_no_Taizai__Kamigami_no_Gekirin;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230128062819_20230106_animeartacademy.png;;七つの大罪 神々の逆鱗;TV;24;Finished Airing;Oct 9, 2019 to Mar 25, 2020;Fall 2019;Wednesdays at 17:55 (JST);['TV Tokyo', 'VAP', 'Dentsu', 'Kodansha', 'Movic', 'Sammy'];None found, add some;Studio Deen;Manga;['Action', 'Adventure', 'Fantasy'];;Shounen;24 min. per ep.;PG-13 - Teens 13 or older;6.45;#6960;#268;676,076;1,353;;[];After saving the Kingdom of Liones from the 10 Commandments, Meliodas and the Seven Deadly Sins are enjoying their time off. However, things aren't as peaceful as they seem, as the Sins are put through various trials to become strong enough to defeat the 10 Commandments and to overcome their past trauma.  With help from past figures, the Sins are tasked with defeating the 10 Commandments and putting an end to their evil plans that began ten thousand years ago. The Sins begin to uncover the truth about each other, as well as those who stood before them. With this knowledge in hand, the battle against the 10 Commandments has only just begun.  Nanatsu no Taizai: Kamigami no Gekirin continues to follow the Seven Deadly Sins and those that they meet on their journey. Through their adventures, they realize that their actions have had greater consequences on the present than they could have ever expected.  [Written by MAL Rewrite]
65;Tate no Yuusha no Nariagari Season 2;https://myanimelist.net/anime/40356/Tate_no_Yuusha_no_Nariagari_Season_2;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230222013808_20230227_malxhis.png;Tate no Yuusha no Nariagari 2nd Season;盾の勇者の成り上がり Season2;TV;13;Finished Airing;Apr 6, 2022 to Jun 29, 2022;Spring 2022;Wednesdays at 22:00 (JST);['Frontier Works', 'AT-X', 'Nippon Columbia', 'Glovision', 'Good Smile Company', 'Sammy', 'Crunchyroll', 'Kadokawa Media House', 'NTT Plala', 'Kadokawa'];None found, add some;Kinema Citrus, DR Movie;Light novel;['Action', 'Adventure', 'Drama', 'Fantasy'];Isekai;;23 min. per ep.;PG-13 - Teens 13 or older;6.56;#6271;#270;672,002;12,389;;['Crunchyroll', 'Funimation', '', '', '', '', '', '', '', '', ''];With another Wave happening in a week, Naofumi Iwatani and his party have no time to waste. However, when bat familiars raid Lurolona Village and the Wave countdown comes to a halt, the Four Cardinal Heroes reconvene with the queen, Mirelia Q Melromarc, for a quick briefing. The queen presumes that the odd occurrences are linked to the Spirit Tortoise—a threatening creature that has awakened from its slumber, back to cause havoc once again. A plan to put the Spirit Tortoise to rest is devised—but out of the four men, only the cursed Shield Hero agrees to help.  [Written by MAL Rewrite]
66;D.Gray-man;https://myanimelist.net/anime/1482/DGray-man;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;D. Gray-man, D. Grey-man;ディー・グレイマン;TV;103;Finished Airing;Oct 3, 2006 to Sep 30, 2008;Fall 2006;Tuesdays at 18:00 (JST);['TV Tokyo', 'Aniplex', 'Dentsu', 'Half H.P Studio', 'Sony Music Entertainment', 'Studio Jack'];Funimation;TMS Entertainment;Manga;['Action', 'Adventure', 'Comedy'];;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;8.02;#563;#272;665,578;13,532;['Mythology', 'Super Power'];['Crunchyroll', 'Funimation'];"Losing a loved one is so painful that one may sometimes wish to be able to resurrect them—a weakness that the enigmatic Millennium Earl exploits. To make his mechanical weapons known as ""Akuma,"" he uses the souls of the dead that are called back. Once a soul is placed in an Akuma, it is trapped forever, and the only way to save them is to exorcise them from their vessel using the Anti-Akuma weapon, ""Innocence.""  After spending three years as the disciple of General Cross, Allen Walker is sent to the Black Order—an organization comprised of those willing to fight Akuma and the Millennium Earl—to become an official Exorcist. With an arm as his Innocence and a cursed eye that can see the suffering souls within an Akuma, it's up to Allen and his fellow Exorcists to stop the Millennium Earl's ultimate plot: one that can lead to the destruction of the world.  [Written by MAL Rewrite]"
67;Tensei shitara Slime Datta Ken 2nd Season Part 2;https://myanimelist.net/anime/41487/Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230128062819_20230106_animeartacademy.png;Tensura 2;転生したらスライムだった件;TV;12;Finished Airing;Jul 6, 2021 to Sep 21, 2021;Summer 2021;Tuesdays at 23:00 (JST);['Kodansha', 'BS11', 'Bandai Namco Arts', 'Micro Magazine Publishing', 'Bandai Spirits', 'Sony Music Solutions', 'ADK Marketing Solutions'];None found, add some;8bit;Manga;['Action', 'Adventure', 'Comedy', 'Fantasy'];;;23 min. per ep.;PG-13 - Teens 13 or older;8.33;#214;#282;648,722;10,263;['Isekai', 'Mythology', 'Reincarnation'];['Crunchyroll', 'Funimation', '', '', '', '', '', '', ''];"The nation of Tempest is in a festive mood after successfully overcoming the surprise attack from the Falmuth Army and the Western Holy Church. Beyond the festivities lies a meeting between Tempest and its allies to decide the future of the Nation of Monsters. The aftermath of the Falmuth invasion, Milim Nava's suspicious behavior, and the disappearance of Demon Lord Carrion—the problems seem to keep on piling up.  Rimuru Tempest, now awakened as a ""True Demon Lord,"" decides to go on the offensive against Clayman. With the fully revived ""Storm Dragon"" Veldora, ""Ultimate Skill"" Raphael, and other powerful comrades, the ruler of the Tempest is confident in taking down his enemies one by one until he can face the man pulling the strings.  [Written by MAL Rewrite]"
68;Claymore;https://myanimelist.net/anime/1818/Claymore;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230128062819_20230106_animeartacademy.png;;クレイモア;TV;26;Finished Airing;Apr 4, 2007 to Sep 26, 2007;Spring 2007;Wednesdays at 01:26 (JST);['VAP', 'Avex Entertainment', 'Nippon Television Network', 'D.N. Dream Partners'];Funimation;Madhouse;Manga;['Action', 'Adventure', 'Fantasy'];;Shounen;23 min. per ep.;R+ - Mild Nudity;7.74;#1050;#287;642,279;8,153;['Gore', 'Mythology', 'Super Power'];['Funimation'];"When a shapeshifting demon with a thirst for human flesh, known as ""youma,"" arrives in Raki's village, a lone woman with silver eyes walks into town with only a sword upon her back. She is a ""Claymore,"" a being manufactured as half-human and half-youma, for the express purpose of exterminating these monsters. After Raki's family is killed, the Claymore saves his life, but he is subsequently banished from his home. With nowhere else to go, Raki finds the Claymore, known as Clare, and decides to follow her on her journeys.  As the pair travel from town to town, defeating youma along the way, more about Clare's organization and her fellow warriors comes to light. With every town cleansed and every demon destroyed, they come closer to the youma on which Clare has sought vengeance ever since she chose to become a Claymore.  [Written by MAL Rewrite]"
69;Arifureta Shokugyou de Sekai Saikyou;https://myanimelist.net/anime/36882/Arifureta_Shokugyou_de_Sekai_Saikyou;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230222013808_20230227_malxhis.png;From Common Job Class to the Strongest in the World;ありふれた職業で世界最強;TV;13;Finished Airing;Jul 8, 2019 to Oct 7, 2019;Summer 2019;Mondays at 23:30 (JST);['AT-X', 'Sony Music Communications', 'Bushiroad', 'Toranoana', 'Hakuhodo DY Music & Pictures', 'Overlap', 'FuRyu', 'Bandai Namco Arts'];Funimation;asread., White Fox;Light novel;['Action', 'Adventure', 'Fantasy'];;;23 min. per ep.;PG-13 - Teens 13 or older;6.69;#5554;#294;631,868;6,031;['Harem', 'Isekai'];['Crunchyroll', 'Funimation'];The ordinary life of 17-year-old otaku Hajime Nagumo is disrupted when he and his classmates are summoned to a fantasy world and tasked with saving mankind. While his classmates are gifted with impressive abilities useful in combat, Hajime is belittled for only gaining an inferior transmutation skill that lacks any real offensive power.  During an expedition in the Great Orcus Labyrinth, Hajime is betrayed by one of his classmates, plummeting him to the bottom of an abyss. Though he survives the fall, Hajime is faced with menacing monsters and misfortunes that send him spiraling into a grim nightmare. Desperate to live and return home one day, he resolves to fight for his survival—only to meet an imprisoned vampire he names Yue, who is also seeking to escape the labyrinth. Taking an interest in him, Yue and a few others along the way accompany Hajime on his journey to find a way back home, while steadily transforming from commonplace to the world's strongest.  [Written by MAL Rewrite]
70;Satsuriku no Tenshi;https://myanimelist.net/anime/35994/Satsuriku_no_Tenshi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230222013808_20230227_malxhis.png;Angel of Massacre, Angel of Slaughter;殺戮の天使;TV;16;Finished Airing;Jul 6, 2018 to Oct 26, 2018;Summer 2018;Fridays at 20:30 (JST);['Lantis', 'AT-X', 'Kadokawa'];Funimation;J.C.Staff;Game;['Adventure', 'Horror', 'Suspense'];;;23 min. per ep.;R - 17+ (violence & profanity);6.96;#4261;#307;618,249;5,254;['Gore', 'Psychological'];['Crunchyroll', 'Funimation', ''];With dead and lifeless eyes, Rachel Gardner wishes only to die. Waking up in the basement of a building, she has no idea how or why she's there. She stumbles across a bandaged murderer named Zack, who is trying to escape. After promising to kill her as soon as he is free, Rachel and Zack set out to ascend through the building floor by floor until they escape.  However, as they progress upward, they meet more twisted people, and all of them seem familiar with Rachel. What is her connection to the building, and why was she placed in it? Facing a new boss on each floor, can Rachel and Zack both achieve their wishes?  [Written by MAL Rewrite]
