$title$link$preliminary
1$Code Geass: Hangyaku no Lelouch$https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch$off
2$Yakusoku no Neverland$https://myanimelist.net/anime/37779/Yakusoku_no_Neverland$off
3$Kiseijuu: Sei no Kakuritsu$https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu$off
4$Cowboy Bebop$https://myanimelist.net/anime/1/Cowboy_Bebop$off
5$Neon Genesis Evangelion$https://myanimelist.net/anime/30/Neon_Genesis_Evangelion$off
6$Code Geass: Hangyaku no Lelouch R2$https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2$off
7$Dr. Stone$https://myanimelist.net/anime/38691/Dr_Stone$off
8$Psycho-Pass$https://myanimelist.net/anime/13601/Psycho-Pass$off
9$Darling in the FranXX$https://myanimelist.net/anime/35849/Darling_in_the_FranXX$off
10$Tengen Toppa Gurren Lagann$https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann$off
11$Made in Abyss$https://myanimelist.net/anime/34599/Made_in_Abyss$off
12$Deadman Wonderland$https://myanimelist.net/anime/6880/Deadman_Wonderland$off
13$Guilty Crown$https://myanimelist.net/anime/10793/Guilty_Crown$off
15$Mahouka Koukou no Rettousei$https://myanimelist.net/anime/20785/Mahouka_Koukou_no_Rettousei$off
16$Date A Live$https://myanimelist.net/anime/15583/Date_A_Live$off
19$Plastic Memories$https://myanimelist.net/anime/27775/Plastic_Memories$off
20$Black Bullet$https://myanimelist.net/anime/20787/Black_Bullet$off
0$One Punch Man$https://myanimelist.net/anime/30276/One_Punch_Man$off
1$No Game No Life$https://myanimelist.net/anime/19815/No_Game_No_Life$off
3$Ansatsu Kyoushitsu$https://myanimelist.net/anime/24833/Ansatsu_Kyoushitsu$off
4$Kono Subarashii Sekai ni Shukufuku wo!$https://myanimelist.net/anime/30831/Kono_Subarashii_Sekai_ni_Shukufuku_wo$off
5$Kill la Kill$https://myanimelist.net/anime/18679/Kill_la_Kill$off
6$Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen$https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen$off
8$One Punch Man 2nd Season$https://myanimelist.net/anime/34134/One_Punch_Man_2nd_Season$off
9$Soul Eater$https://myanimelist.net/anime/3588/Soul_Eater$off
11$Hataraku Maou-sama!$https://myanimelist.net/anime/15809/Hataraku_Maou-sama$off
14$High School DxD$https://myanimelist.net/anime/11617/High_School_DxD$off
15$Yahari Ore no Seishun Love Comedy wa Machigatteiru.$https://myanimelist.net/anime/14813/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru$off
17$Tensei shitara Slime Datta Ken$https://myanimelist.net/anime/37430/Tensei_shitara_Slime_Datta_Ken$off
18$Chuunibyou demo Koi ga Shitai!$https://myanimelist.net/anime/14741/Chuunibyou_demo_Koi_ga_Shitai$off
19$Spy x Family$https://myanimelist.net/anime/50265/Spy_x_Family$off
21$Kaichou wa Maid-sama!$https://myanimelist.net/anime/7054/Kaichou_wa_Maid-sama$off
24$Kuroshitsuji$https://myanimelist.net/anime/4898/Kuroshitsuji$off
25$Nisekoi$https://myanimelist.net/anime/18897/Nisekoi$off
27$Tonari no Kaibutsu-kun$https://myanimelist.net/anime/14227/Tonari_no_Kaibutsu-kun$off
30$K-On!$https://myanimelist.net/anime/5680/K-On$off
31$Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku$https://myanimelist.net/anime/23847/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Zoku$off
33$Golden Time$https://myanimelist.net/anime/17895/Golden_Time$off
37$Kanojo, Okarishimasu$https://myanimelist.net/anime/40839/Kanojo_Okarishimasu$off
41$5-toubun no Hanayome$https://myanimelist.net/anime/38101/5-toubun_no_Hanayome$off
45$Kekkai Sensen$https://myanimelist.net/anime/24439/Kekkai_Sensen$off
46$Masamune-kun no Revenge$https://myanimelist.net/anime/33487/Masamune-kun_no_Revenge$off
47$Trinity Seven$https://myanimelist.net/anime/25157/Trinity_Seven$off
48$Komi-san wa, Comyushou desu.$https://myanimelist.net/anime/48926/Komi-san_wa_Comyushou_desu$off
49$Zero no Tsukaima$https://myanimelist.net/anime/1195/Zero_no_Tsukaima$off
52$Boku wa Tomodachi ga Sukunai$https://myanimelist.net/anime/10719/Boku_wa_Tomodachi_ga_Sukunai$off
55$Dragon Ball Super$https://myanimelist.net/anime/30694/Dragon_Ball_Super$off
59$Ijiranaide, Nagatoro-san$https://myanimelist.net/anime/42361/Ijiranaide_Nagatoro-san$off
65$Chuunibyou demo Koi ga Shitai! Ren$https://myanimelist.net/anime/18671/Chuunibyou_demo_Koi_ga_Shitai_Ren$off
69$Eromanga-sensei$https://myanimelist.net/anime/32901/Eromanga-sensei$off
70$Isekai Maou to Shoukan Shoujo no Dorei Majutsu$https://myanimelist.net/anime/37210/Isekai_Maou_to_Shoukan_Shoujo_no_Dorei_Majutsu$off
71$Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan$https://myanimelist.net/anime/39547/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan$off
72$Tonikaku Kawaii$https://myanimelist.net/anime/41389/Tonikaku_Kawaii$off
74$Nisekoi:$https://myanimelist.net/anime/27787/Nisekoi_$off
75$Ore no Imouto ga Konnani Kawaii Wake ga Nai$https://myanimelist.net/anime/8769/Ore_no_Imouto_ga_Konnani_Kawaii_Wake_ga_Nai$off
79$Himouto! Umaru-chan$https://myanimelist.net/anime/28825/Himouto_Umaru-chan$off
80$Rosario to Vampire$https://myanimelist.net/anime/2993/Rosario_to_Vampire$off
87$Blend S$https://myanimelist.net/anime/34618/Blend_S$off
89$Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!$https://myanimelist.net/anime/16742/Watashi_ga_Motenai_no_wa_Dou_Kangaetemo_Omaera_ga_Warui$off
90$Lucky☆Star$https://myanimelist.net/anime/1887/Lucky%E2%98%86Star$off
91$Gamers!$https://myanimelist.net/anime/34280/Gamers$off
109$Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?$https://myanimelist.net/anime/15315/Mondaiji-tachi_ga_Isekai_kara_Kuru_Sou_desu_yo$off
113$Kuroshitsuji II$https://myanimelist.net/anime/6707/Kuroshitsuji_II$off
114$Kenja no Mago$https://myanimelist.net/anime/36407/Kenja_no_Mago$off
121$Musaigen no Phantom World$https://myanimelist.net/anime/31442/Musaigen_no_Phantom_World$off
123$Isekai wa Smartphone to Tomo ni.$https://myanimelist.net/anime/35203/Isekai_wa_Smartphone_to_Tomo_ni$off
125$Netoge no Yome wa Onnanoko ja Nai to Omotta?$https://myanimelist.net/anime/31404/Netoge_no_Yome_wa_Onnanoko_ja_Nai_to_Omotta$off
127$Hajimete no Gal$https://myanimelist.net/anime/34403/Hajimete_no_Gal$off
136$Mayo Chiki!$https://myanimelist.net/anime/10110/Mayo_Chiki$off
148$Ishuzoku Reviewers$https://myanimelist.net/anime/40010/Ishuzoku_Reviewers$off
149$Net-juu no Susume$https://myanimelist.net/anime/36038/Net-juu_no_Susume$off
151$Mieruko-chan$https://myanimelist.net/anime/48483/Mieruko-chan$off
