;title;link;preliminary
8;Psycho-Pass;https://myanimelist.net/anime/13601/Psycho-Pass;off
9;Soul Eater;https://myanimelist.net/anime/3588/Soul_Eater;off
13;JoJo no Kimyou na Bouken (TV);https://myanimelist.net/anime/14719/JoJo_no_Kimyou_na_Bouken_TV;off
9;Darling in the FranXX;https://myanimelist.net/anime/35849/Darling_in_the_FranXX;off
11;Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;https://myanimelist.net/anime/9989/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai;off
10;Tengen Toppa Gurren Lagann;https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann;off
10;Black Clover;https://myanimelist.net/anime/34572/Black_Clover;off
21;Charlotte;https://myanimelist.net/anime/28999/Charlotte;off
23;Overlord;https://myanimelist.net/anime/29803/Overlord;off
11;Hataraku Maou-sama!;https://myanimelist.net/anime/15809/Hataraku_Maou-sama;off
25;Tate no Yuusha no Nariagari;https://myanimelist.net/anime/35790/Tate_no_Yuusha_no_Nariagari;off
45;Elfen Lied;https://myanimelist.net/anime/226/Elfen_Lied;off
26;Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka;https://myanimelist.net/anime/28121/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka;off
3;Highschool of the Dead;https://myanimelist.net/anime/8074/Highschool_of_the_Dead;off
27;Fate/Zero;https://myanimelist.net/anime/10087/Fate_Zero;off
12;Kono Subarashii Sekai ni Shukufuku wo! 2;https://myanimelist.net/anime/32937/Kono_Subarashii_Sekai_ni_Shukufuku_wo_2;off
29;Fullmetal Alchemist;https://myanimelist.net/anime/121/Fullmetal_Alchemist;off
13;Mob Psycho 100 II;https://myanimelist.net/anime/37510/Mob_Psycho_100_II;off
3;Kakegurui;https://myanimelist.net/anime/34933/Kakegurui;off
30;Noragami Aragoto;https://myanimelist.net/anime/30503/Noragami_Aragoto;off
16;Clannad;https://myanimelist.net/anime/2167/Clannad;off
14;High School DxD;https://myanimelist.net/anime/11617/High_School_DxD;off
