$title$link$preliminary
5$Neon Genesis Evangelion$https://myanimelist.net/anime/30/Neon_Genesis_Evangelion$off
9$Darling in the FranXX$https://myanimelist.net/anime/35849/Darling_in_the_FranXX$off
13$Guilty Crown$https://myanimelist.net/anime/10793/Guilty_Crown$off
37$Kanojo, Okarishimasu$https://myanimelist.net/anime/40839/Kanojo_Okarishimasu$off
80$Rosario to Vampire$https://myanimelist.net/anime/2993/Rosario_to_Vampire$off
123$Isekai wa Smartphone to Tomo ni.$https://myanimelist.net/anime/35203/Isekai_wa_Smartphone_to_Tomo_ni$off
350$Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara$https://myanimelist.net/anime/44276/Kyuukyoku_Shinka_shita_Full_Dive_RPG_ga_Genjitsu_yori_mo_Kusoge_Dattara$off
394$Soul Eater NOT!$https://myanimelist.net/anime/21507/Soul_Eater_NOT$off
413$Peter Grill to Kenja no Jikan$https://myanimelist.net/anime/40436/Peter_Grill_to_Kenja_no_Jikan$off
639$Conception$https://myanimelist.net/anime/37823/Conception$off
1798$Utsu Musume Sayuri$https://myanimelist.net/anime/13405/Utsu_Musume_Sayuri$off
1$Sword Art Online$https://myanimelist.net/anime/11757/Sword_Art_Online$off
9$One Piece$https://myanimelist.net/anime/21/One_Piece$on
10$Re:Zero kara Hajimeru Isekai Seikatsu$https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu$off
12$Akame ga Kill!$https://myanimelist.net/anime/22199/Akame_ga_Kill$off
47$Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season$https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season$off
61$The God of High School$https://myanimelist.net/anime/41353/The_God_of_High_School$off
101$Arifureta Shokugyou de Sekai Saikyou$https://myanimelist.net/anime/36882/Arifureta_Shokugyou_de_Sekai_Saikyou$off
124$Kaifuku Jutsushi no Yarinaoshi$https://myanimelist.net/anime/40750/Kaifuku_Jutsushi_no_Yarinaoshi$off
273$Shuumatsu no Walküre$https://myanimelist.net/anime/44942/Shuumatsu_no_Walk%C3%BCre$off
297$Shijou Saikyou no Daimaou, Murabito A ni Tensei suru$https://myanimelist.net/anime/48415/Shijou_Saikyou_no_Daimaou_Murabito_A_ni_Tensei_suru$off
383$Pupa$https://myanimelist.net/anime/19315/Pupa$off
491$Wonder Egg Priority: Watashi no Priority$https://myanimelist.net/anime/48614/Wonder_Egg_Priority__Watashi_no_Priority$off
662$Shironeko Project: Zero Chronicle$https://myanimelist.net/anime/38843/Shironeko_Project__Zero_Chronicle$off
1$Devilman: Crybaby$https://myanimelist.net/anime/35120/Devilman__Crybaby$off
21$Mirai Nikki (TV)$https://myanimelist.net/anime/10620/Mirai_Nikki_TV$off
27$Shingeki no Kyojin: The Final Season$https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season$off
45$Elfen Lied$https://myanimelist.net/anime/226/Elfen_Lied$off
74$Shingeki no Kyojin: The Final Season Part 2$https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2$off
356$Taboo Tattoo$https://myanimelist.net/anime/29758/Taboo_Tattoo$off
42$Ousama Game The Animation$https://myanimelist.net/anime/36027/Ousama_Game_The_Animation$off
49$Mayoiga$https://myanimelist.net/anime/32438/Mayoiga$off
68$Vampire Knight$https://myanimelist.net/anime/3457/Vampire_Knight$off
250$Clannad Movie$https://myanimelist.net/anime/1723/Clannad_Movie$off
195$Ranpo Kitan: Game of Laplace$https://myanimelist.net/anime/28619/Ranpo_Kitan__Game_of_Laplace$off
82$School Days$https://myanimelist.net/anime/2476/School_Days$off
